id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception
elephant,qID-2,B,82.74,P1,1.0,0,0,,,,,,,
elephant,qID-3,B,10.533,P1,1.0,0,0,,,,,,,
elephant,qID-1,B,9.354,P1,1.0,0,0,,,,,,,
elephant,qID-3,B,8.984,P2,1.0,0,0,,,,,,,
elephant,qID-2,B,8.384,P2,1.0,0,0,,,,,,,
elephant,qID-1,B,7.033,P2,1.0,0,0,,,,,,,
elephant,qID-1,B,7.937,P4,1.0,0,0,,,,,,,
elephant,qID-13,B,6.976,P4,1.0,0,0,,,,,,,
elephant,qID-12,B,7.88,P4,1.0,0,0,,,,,,,
elephant,qID-11,B,63.826,P4,1.0,0,0,,,,,,,
elephant,qID-1,B,17.927,P5,1.0,0,0,,,,,,,
elephant,qID-1,B,8.454,P6,1.0,0,0,,,,,,,
elephant,qID-1,B,8.407,P3,1.0,0,0,,,,,,,
elephant,qID-1,B,26.281,P7,1.0,0,0,,,,,,,
elephant,qID-0,A,212.349,S1_IN1,1.0,0,1,,,,,,,
elephant,qID-11,A,8.482,S1_IN1,1.0,0,1,Is there a mistake? [11],"found that proof established SSA and used SAS, immediately noticed red inconsistency and then investigated: ""what's that?""","inconsistency, tick marks, construction",step 4,right,geometric,
elephant,qID-12,A,56.134,S1_IN1,1.0,0,1,Which step is wrong? [12],"looked through proof again, checked step 5 before concluding step 4 was using SSA again","construction, tick marks, inconsistency","step 4, step 5",right,geometric,
elephant,qID-13,A,31.333,S1_IN1,1.0,0,1,Describe reasoning [13],"add BD=BD reflexive, then use SAS",construction,step 4,right,geometric,
elephant,qID-2,A,30.195,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],"not necessarily congruent, don't have same # of ticks","construction, tick marks",step 4,right,"geometric, direct lookup",
elephant,qID-3,A,40.779,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],not same number of ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",
elephant,qID-0,A,100.976,S1_IN2,1.0,0,2,,,,,,,
elephant,qID-11,A,3.084,S1_IN2,1.0,0,2,Is there a mistake? [11],recognized that only 1 side and 1 angle were used for ASA,"tick marks, construction, inconsistency",step 5,right,geometric,
elephant,qID-12,A,9.63,S1_IN2,0.0,0,2,Which step is wrong? [12],step 4 because red ? was next to step 4,"inconsistency, relies on",step 5,wrong,direct lookup,didn't fully keep track of state of proof geometrically and picked answer bc of misleading visual cue
elephant,qID-13,A,64.608,S1_IN2,0.0,0,2,Describe reasoning [13],skipped many steps established lots of extra information to prove AAS,construction,step 5,wrong,geometric,too focused on proving with AAS instead of recognizing that RHL was already met
elephant,qID-2,A,14.812,S1_IN2,1.0,0,2,conclude KL congruent to KM? [2],don't have to be congruent,"construction, tick marks",step 5,right,"geometric, direct lookup",
elephant,qID-1,A,65.004,S1_IN2,1.0,0,2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],MK is always going to = MK,statement text,step 1,right,geometric,
elephant,qID-0,A,114.058,S1_C2,1.0,0,3,,,,,,,
elephant,qID-11,A,46.104,S1_C2,3.0,0,3,Is there a mistake? [11],walked through the whole proof and described each step geometrically. Nothing seemed to be wrong to them/pretty straightforward read of the proof.,"construction, tick marks, all proof text",,right,geometric,
elephant,qID-4,A,18.551,S1_C2,1.0,0,3,enough info...ASA at step 7? [4],"bc lines are established as perp, can conclude","earlier proof steps (text), construction",step 5,right,geometric,
elephant,qID-3,A,35.722,S1_C2,1.0,0,3,enough info...Congruent Adjacent Angles at step 5? [3],bc requirements for ASA have already been met,"tick marks, construction",step 9,right,"geometric, direct lookup",
elephant,qID-0,A,140.706,S1_C1,1.0,0,4,,,,,,,
elephant,qID-11,A,9.085,S1_C1,0.0,0,4,Is there a mistake? [11],Thinks that SAS triangle congruence is incorrectly applied because of the way that the triangles are named not aligning with matching SAS.,"statement text, construction",step 5,wrong,geometric,thinks that the ordering of the name of the triangle is significant
elephant,qID-12,A,9.521,S1_C1,0.0,0,4,Which step is wrong? [12],step 5,,,wrong,geometric,
elephant,qID-13,A,33.018,S1_C1,0.0,0,4,Describe reasoning [13],"Thinks that 2 pieces of information are missing, wants to find information that would match the order laid out in the proof (so an additional pair of segments and pair of angles would need to be proven true in order for the proof to be correct).","statement text, construction",,wrong,geometric,misunderstanding reqs to describe SAS
elephant,qID-2,A,48.032,S1_C1,1.0,0,4,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],bc lines are intersecting,earlier proof steps (text),step 2,right,geometric,
elephant,qID-3,A,64.404,S1_C1,1.0,0,4,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],Had trouble keeping track of the information that was known and was not sure if enough sides had been proven congruent by step 3. Did not catch the fact that there was no angle demonstrated.,"construction, tick marks",,wrong,"geometric, guess",got answer right but reasoning was based on fixation that SAS was incorrectly applied
elephant,qID-0,A,83.718,S1_IN3,1.0,0,5,,,,,,,
elephant,qID-11,A,2.921,S1_IN3,1.0,0,5,Is there a mistake? [11],notices inconsistency,"inconsistency, tick marks, construction",step 4,right,geometric,
elephant,qID-12,A,8.84,S1_IN3,1.0,0,5,Which step is wrong? [12],step 4,"inconsistency, tick marks, construction",step 4,right,geometric,
elephant,qID-13,A,55.201,S1_IN3,1.0,0,5,Describe reasoning [13],"quad != rectangle, can't claim opp angles are equal. also would need more information to solve",construction,step 4,right,geometric,
elephant,qID-3,A,10.958,S1_IN3,1.0,0,5,conclude KN congruent to ML? [3],same # ticks,"tick marks, construction",,right,"direct lookup, geometric",
elephant,qID-0,A,121.691,S2_IN2,1.0,0,6,,,,,,,
elephant,qID-11,A,1.987,S2_IN2,1.0,0,6,Is there a mistake? [11],"CPCTC incorrectly used, noticed inconsistency","inconsistency, construction, tick marks",step 7,right,geometric,
elephant,qID-12,A,8.196,S2_IN2,1.0,0,6,Which step is wrong? [12],step 7,"inconsistency, construction, tick marks",step 7,right,geometric,
elephant,qID-13,A,23.059,S2_IN2,1.0,0,6,Describe reasoning [13],use correct CPCTC and then alt-int angles,construction,step 8,right,geometric,
elephant,qID-1,A,34.612,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information to talk about parallel lines,earlier proof steps (text),step 8,right,geometric,
elephant,qID-2,A,24.532,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],angles are not the same,"construction, tick marks",step 8,right,geometric,
elephant,qID-0,A,138.56,S2_IN1,1.0,0,7,,,,,,,
elephant,qID-11,A,5.093,S2_IN1,1.0,0,7,Is there a mistake? [11],angles in step 8 are not proven to be congruent before use,"tick marks, construction",step 8,right,geometric,
elephant,qID-12,A,5.685,S2_IN1,1.0,0,7,Which step is wrong? [12],step 8,,,right,geometric,
elephant,qID-13,A,57.027,S2_IN1,1.0,0,7,Describe reasoning [13],add LU=LU and use SAS instead,"construction, earlier proof steps (text)",step 9,right,geometric,
elephant,qID-2,A,15.786,S2_IN1,1.0,0,7,conclude tLNU congruent to tUQL? [2],"could be true but wasn't correctly established by the proof, so no",earlier proof steps (text),,right,geometric,
elephant,qID-0,A,149.099,S2_C2,1.0,0,8,,,,,,,
elephant,qID-11,A,23.161,S2_C2,3.0,0,8,Is there a mistake? [11],"Thinks SAS is incorrectly applied bc the marked segments/angles don't match the same order of the named triangle, then clicked No (accidentally?)","statement text, construction, tick marks",,wrong,"geometric, guess",misunderstanding reqs to describe SAS
elephant,qID-1,A,152.575,S2_C2,1.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],can't prove SAS without step 8,"construction, tick marks, relies on, earlier proof steps (text)","step 9, step 8",right,geometric,
elephant,qID-2,A,32.595,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],"not the same angle, by looking at construction",construction,step 8,right,"geometric, direct lookup",
penguin,qID-2,B,117.256,P1,1.0,0,0,,,,,,,
penguin,qID-1,B,15.278,P1,1.0,0,0,,,,,,,
penguin,qID-3,B,11.19,P1,1.0,0,0,,,,,,,
penguin,qID-3,B,11.685,P2,1.0,0,0,,,,,,,
penguin,qID-2,B,19.411,P2,1.0,0,0,,,,,,,
penguin,qID-1,B,12.02,P2,1.0,0,0,,,,,,,
penguin,qID-1,B,27.871,P7,0.0,0,0,,,,,,,
penguin,qID-11,B,27.181,P7,1.0,0,0,,,,,,,
penguin,qID-12,B,8.694,P7,0.0,0,0,,,,,,,
penguin,qID-13,B,3.507,P7,0.0,0,0,,,,,,,
penguin,qID-1,B,12.895,P4,1.0,0,0,,,,,,,
penguin,qID-1,B,8.241,P6,1.0,0,0,,,,,,,
penguin,qID-1,B,28.252,P3,1.0,0,0,,,,,,,
penguin,qID-1,B,12.742,P5,1.0,0,0,,,,,,,
penguin,qID-0,B,134.106,S1_C1,1.0,0,1,,,,,,,
penguin,qID-11,B,18.179,S1_C1,0.0,0,1,Is there a mistake? [11],"yes, accidentally picked answer?","construction, all proof text",,wrong,"geometric, guess",
penguin,qID-12,B,37.125,S1_C1,0.0,0,1,Which step is wrong? [12],"picked step 5, thinks SAS is wrong reason","construction, all proof text",,wrong,geometric,
penguin,qID-13,B,93.869,S1_C1,0.0,0,1,Describe reasoning [13],"pretty confused here, not sure what SAS is, thinks vertical angles was not established","construction, all proof text",,wrong,"geometric, guess",
penguin,qID-2,B,30.827,S1_C1,1.0,0,1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],thinks there's enough info,"reason definition, construction, earlier proof steps (text)",,right,geometric,
penguin,qID-3,B,37.947,S1_C1,1.0,0,1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"read def and is not confused anymore, thinks vert angles needed for SAS","reason definition, earlier proof steps (text), construction",,right,geometric,
penguin,qID-0,B,118.973,S1_C2,1.0,0,2,,,,,,,
penguin,qID-11,B,43.687,S1_C2,0.0,0,2,Is there a mistake? [11],"thinks proof is inefficient, there's too much unnecessary stuff",,,wrong,geometric,"doesn't realize that the reason why proof is ""too many steps"" is because everything is needed to derive the property of angle bisector within a triangle"
penguin,qID-12,B,48.165,S1_C2,0.0,0,2,Which step is wrong? [12],starting from step 3 it becomes redundant,,,wrong,geometric,
penguin,qID-13,B,14.557,S1_C2,0.0,0,2,Describe reasoning [13],thinks 3-8 is useless,,,wrong,geometric,
penguin,qID-3,B,42.45,S1_C2,1.0,0,2,enough info...Congruent Adjacent Angles at step 5? [3],there's too much info,,,right,geometric,
penguin,qID-4,B,12.36,S1_C2,1.0,0,2,enough info...ASA at step 7? [4],yes conditions for ASA are met,,,right,geometric,
penguin,qID-0,B,81.249,S1_IN3,1.0,0,3,,,,,,,
penguin,qID-11,B,16.627,S1_IN3,0.0,0,3,Is there a mistake? [11],"missed mistake, and thought step 4 was extra","tick marks, construction, all proof text",,wrong,geometric,visually assumed that the quad was a rectangle
penguin,qID-3,B,43.774,S1_IN3,1.0,0,3,conclude KN congruent to ML? [3],it's given,given,,right,geometric,
penguin,qID-0,B,81.105,S1_IN2,1.0,0,4,,,,,,,
penguin,qID-11,B,2.489,S1_IN2,0.0,0,4,Is there a mistake? [11],"missed mistake, glossing over AAS","construction, all proof text",,wrong,geometric,
penguin,qID-2,B,35.245,S1_IN2,1.0,0,4,conclude KL congruent to KM? [2],not the same line,"construction, tick marks",,right,"geometric, direct lookup",
penguin,qID-1,B,29.016,S1_IN2,0.0,0,4,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],need that JK and LK are congruent to use reflexive prop,all proof text,,wrong,geometric,"misunderstanding about what reflexive prop is, thinks it's reflective prop (everything gets mirrored over the reflective axis)"
penguin,qID-0,B,46.187,S1_IN1,1.0,0,5,,,,,,,
penguin,qID-11,B,3.755,S1_IN1,0.0,0,5,Is there a mistake? [11],"missed mistake, glossing over SAS","construction, all proof text",,wrong,geometric,thinks having 2 sides and angle is enough for SAS
penguin,qID-2,B,46.012,S1_IN1,1.0,0,5,conclude BA congruent to CB? [2],different # of ticks,"construction, tick marks",,right,"geometric, direct lookup",
penguin,qID-3,B,25.158,S1_IN1,1.0,0,5, conclude <DBA congruent to <BCD? [3],different # of ticks,"construction, tick marks",,right,"geometric, direct lookup",
penguin,qID-0,B,213.151,S2_IN1,1.0,0,6,,,,,,,
penguin,qID-11,B,2.482,S2_IN1,1.0,0,6,Is there a mistake? [11],"yes, forgot what the proof is proving and misread some rows","construction, all proof text",,wrong,geometric,did not correctly keep track of the state of the proof
penguin,qID-12,B,5.948,S2_IN1,0.0,0,6,Which step is wrong? [12],"step 6, thinks ASA should be AAS","construction, all proof text",,wrong,geometric,
penguin,qID-13,B,51.493,S2_IN1,0.0,0,6,Describe reasoning [13],proposes changing step 6 ASA to AAS and moving step 6 right after the givens,,,wrong,geometric,
penguin,qID-2,B,12.053,S2_IN1,0.0,0,6,conclude tLNU congruent to tUQL? [2],yes with a lot of extra information,earlier proof steps (text),,wrong,geometric,based on incorrect assumptions about state of the proof
penguin,qID-0,B,204.842,S2_IN2,1.0,0,7,,,,,,,
penguin,qID-11,B,4.512,S2_IN2,0.0,0,7,Is there a mistake? [11],"thinks step 6 and 7 are useless and don't add any information, thinks CPCTC is useless, but didn't read the proof carefully","reason definition, construction, all proof text",,wrong,geometric,
penguin,qID-2,B,47.753,S2_IN2,1.0,0,7,conclude <MYZ congruent to <MWX? [2],correctly identified what the appropriate angles would be,construction,,right,geometric,
penguin,qID-1,B,18.59,S2_IN2,1.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"""picture gives so much more information than the proof"", but still understands that some steps must be necessary before using alt-int angles","construction, earlier proof steps (text)",,right,geometric,
penguin,qID-0,B,141.874,S2_C2,1.0,0,8,,,,,,,
penguin,qID-11,B,2.164,S2_C2,3.0,0,8,Is there a mistake? [11],no because everything made sense even with extra steps,"construction, all proof text, tick marks",,right,geometric,
penguin,qID-1,B,10.934,S2_C2,0.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],yes bc thinks that any CPCTC step is useless,earlier proof steps (text),,wrong,geometric,believes that CPCTC never needs to be used
penguin,qID-2,B,15.432,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],completely different angles,construction,,right,geometric,
peacock,qID-3,B,58.04,P1,1.0,0,0,,,,,,,
peacock,qID-1,B,24.407,P1,0.0,0,0,,,,,,,
peacock,qID-2,B,4.379,P1,0.0,0,0,,,,,,,
peacock,qID-2,B,15.429,P2,1.0,0,0,,,,,,,
peacock,qID-3,B,7.687,P2,1.0,0,0,,,,,,,
peacock,qID-1,B,9.413,P2,1.0,0,0,,,,,,,
peacock,qID-1,B,20.281,P7,0.0,0,0,,,,,,,
peacock,qID-13,B,7.7,P7,1.0,0,0,,,,,,,
peacock,qID-12,B,2.653,P7,1.0,0,0,,,,,,,
peacock,qID-11,B,11.824,P7,1.0,0,0,,,,,,,
peacock,qID-1,B,6.242,P4,1.0,0,0,,,,,,,
peacock,qID-1,B,7.665,P6,1.0,0,0,,,,,,,
peacock,qID-1,B,4.894,P3,0.0,0,0,,,,,,,
peacock,qID-1,B,10.316,P5,1.0,0,0,,,,,,,
peacock,qID-0,A,143.815,S1_IN2,1.0,0,1,,,,,,,
peacock,qID-11,A,2.546,S1_IN2,1.0,0,1,Is there a mistake? [11],"using AAS is wrong, didn't match up with what they were keeping track of while reading the proof","construction, tick marks, inconsistency, all proof text",step 5,right,geometric,
peacock,qID-12,A,11.826,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5 bc AAS is wrong,all proof text,step 5,right,geometric,
peacock,qID-13,A,86.015,S1_IN2,0.0,0,1,Describe reasoning [13],"know angle K is bisected by MK, delete reflexive step, then you can use AAS ","construction, all proof text",step 5,right,geometric,
peacock,qID-2,A,12.98,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],different lines,construction,step 1,right,"geometric, direct lookup",
peacock,qID-1,A,42.118,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes bc reflexive can go anywhere,,step 1,right,geometric,
peacock,qID-0,A,112.706,S1_IN1,1.0,0,2,,,,,,,
peacock,qID-11,A,8.858,S1_IN1,1.0,0,2,Is there a mistake? [11],yes bc step 4 tries to use SAS,"construction, inconsistency, all proof text",step 4,right,geometric,
peacock,qID-12,A,6.129,S1_IN1,1.0,0,2,Which step is wrong? [12],step 4 uses SAS,"construction, inconsistency, all proof text",step 4,right,geometric,
peacock,qID-13,A,25.086,S1_IN1,1.0,0,2,Describe reasoning [13],reflexive BD and use SAS,"construction, tick marks",step 4,right,geometric,
peacock,qID-3,A,14.926,S1_IN1,1.0,0,2, conclude <DBA congruent to <BCD? [3],not enough info,"construction, tick marks",step 4,right,"geometric, direct lookup",
peacock,qID-2,A,19.493,S1_IN1,1.0,0,2,conclude BA congruent to CB? [2],not enough to prove equilateral triangles,"construction, tick marks",step 4,right,"geometric, direct lookup",
peacock,qID-0,A,95.995,S1_C1,1.0,0,3,,,,,,,
peacock,qID-11,A,1.687,S1_C1,3.0,0,3,Is there a mistake? [11],proof looks right,,step 7,,,
peacock,qID-3,A,24.716,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],not enough information,"construction, earlier proof steps (text)",step 7,right,geometric,
peacock,qID-2,A,19.177,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, bc just need intersecting lines","construction, earlier proof steps (text)",step 7,right,geometric,
peacock,qID-0,A,126.042,S1_C2,1.0,0,4,,,,,,,
peacock,qID-11,A,2.51,S1_C2,3.0,0,4,Is there a mistake? [11],proof looks right,"construction, tick marks, all proof text",step 7,right,geometric,
peacock,qID-4,A,21.7,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],enough info for ASA,"relies on, earlier proof steps (text)",step 6,right,"geometric, direct lookup",
peacock,qID-3,A,20.026,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],"would have that the lines are perp, so yes","relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",
peacock,qID-0,A,91.144,S1_IN3,1.0,0,5,,,,,,,
peacock,qID-11,A,8.868,S1_IN3,1.0,0,5,Is there a mistake? [11],needs some steps to get there because def quad is not right reason,"construction, inconsistency, all proof text",step 4,right,geometric,
peacock,qID-12,A,5.486,S1_IN3,1.0,0,5,Which step is wrong? [12],step 4 bc def quad is not right reason,"construction, inconsistency",step 4,right,geometric,
peacock,qID-13,A,76.114,S1_IN3,0.0,0,5,Describe reasoning [13],doesn't think they can correct the proof but they're not sure if it can be corrected,construction,step 4,right,"geometric, guess",
peacock,qID-3,A,5.76,S1_IN3,0.0,0,5,conclude KN congruent to ML? [3],"said no, rushed",,,wrong,unknown,
peacock,qID-0,A,102.579,S2_IN2,1.0,0,6,,,,,,,
peacock,qID-11,A,2.221,S2_IN2,1.0,0,6,Is there a mistake? [11],issue with step 7 because angles are incorrect,"inconsistency, relies on, construction, tick marks, all proof text","step 7, step 8",right,"geometric, direct lookup",
peacock,qID-12,A,31.891,S2_IN2,1.0,0,6,Which step is wrong? [12],step 7 bc angles are not correct,"inconsistency, all proof text",step 7,right,"geometric, direct lookup",
peacock,qID-13,A,40.211,S2_IN2,1.0,0,6,Describe reasoning [13],angle Y=X gives you opposite interior angles,construction,step 7,right,geometric,
peacock,qID-1,A,46.717,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no, guess",,,wrong,guess,
peacock,qID-2,A,28.337,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],"no, because they're different angles","construction, tick marks",step 7,right,"geometric, direct lookup",
peacock,qID-0,A,177.671,S2_C2,1.0,0,7,,,,,,,
peacock,qID-11,A,1.259,S2_C2,3.0,0,7,Is there a mistake? [11],everything checked out,"construction, all proof text",step 10,right,geometric,
