id,question,version,time_elapsed,proof,score,pilot
elephant,qID-2,B,82.74,P1,1.0,0.0
elephant,qID-3,B,10.533,P1,1.0,0.0
elephant,qID-1,B,9.354,P1,1.0,0.0
elephant,qID-3,B,8.984,P2,1.0,0.0
elephant,qID-2,B,8.384,P2,1.0,0.0
elephant,qID-1,B,7.033,P2,1.0,0.0
elephant,qID-1,B,7.937,P4,1.0,0.0
elephant,qID-13,B,6.976,P4,1.0,0.0
elephant,qID-12,B,7.88,P4,1.0,0.0
elephant,qID-11,B,63.826,P4,1.0,0.0
elephant,qID-1,B,17.927,P5,1.0,0.0
elephant,qID-1,B,8.454,P6,1.0,0.0
elephant,qID-1,B,8.407,P3,1.0,0.0
elephant,qID-1,B,26.281,P7,1.0,0.0
elephant,qID-0,A,212.349,T1_S1_IN1,1.0,0.0
elephant,qID-11,A,8.482,T1_S1_IN1,1.0,0.0
elephant,qID-12,A,56.134,T1_S1_IN1,1.0,0.0
elephant,qID-13,A,31.333,T1_S1_IN1,1.0,0.0
elephant,qID-2,A,30.195,T1_S1_IN1,1.0,0.0
elephant,qID-3,A,40.779,T1_S1_IN1,1.0,0.0
elephant,qID-0,A,100.976,T1_S1_IN2,1.0,0.0
elephant,qID-11,A,3.084,T1_S1_IN2,1.0,0.0
elephant,qID-12,A,9.63,T1_S1_IN2,0.0,0.0
elephant,qID-13,A,64.608,T1_S1_IN2,0.0,0.0
elephant,qID-2,A,14.812,T1_S1_IN2,1.0,0.0
elephant,qID-1,A,65.004,T1_S1_IN2,1.0,0.0
elephant,qID-0,A,114.058,T1_S1_C2,1.0,0.0
elephant,qID-11,A,46.104,T1_S1_C2,3.0,0.0
elephant,qID-4,A,18.551,T1_S1_C2,1.0,0.0
elephant,qID-3,A,35.722,T1_S1_C2,1.0,0.0
elephant,qID-0,A,140.706,T1_S1_C1,1.0,0.0
elephant,qID-11,A,9.085,T1_S1_C1,0.0,0.0
elephant,qID-12,A,9.521,T1_S1_C1,0.0,0.0
elephant,qID-13,A,33.018,T1_S1_C1,0.0,0.0
elephant,qID-2,A,48.032,T1_S1_C1,1.0,0.0
elephant,qID-3,A,64.404,T1_S1_C1,1.0,0.0
elephant,qID-0,A,83.718,T1_S1_IN3,1.0,0.0
elephant,qID-11,A,2.921,T1_S1_IN3,1.0,0.0
elephant,qID-12,A,8.84,T1_S1_IN3,1.0,0.0
elephant,qID-13,A,55.201,T1_S1_IN3,1.0,0.0
elephant,qID-3,A,10.958,T1_S1_IN3,1.0,0.0
elephant,qID-0,A,121.691,T1_S2_IN2,1.0,0.0
elephant,qID-11,A,1.987,T1_S2_IN2,1.0,0.0
elephant,qID-12,A,8.196,T1_S2_IN2,1.0,0.0
elephant,qID-13,A,23.059,T1_S2_IN2,1.0,0.0
elephant,qID-1,A,34.612,T1_S2_IN2,1.0,0.0
elephant,qID-2,A,24.532,T1_S2_IN2,1.0,0.0
elephant,qID-0,A,138.56,T1_S2_IN1,1.0,0.0
elephant,qID-11,A,5.093,T1_S2_IN1,1.0,0.0
elephant,qID-12,A,5.685,T1_S2_IN1,1.0,0.0
elephant,qID-13,A,57.027,T1_S2_IN1,1.0,0.0
elephant,qID-2,A,15.786,T1_S2_IN1,1.0,0.0
elephant,qID-0,A,149.099,T1_S2_C2,1.0,0.0
elephant,qID-11,A,23.161,T1_S2_C2,3.0,0.0
elephant,qID-1,A,152.575,T1_S2_C2,1.0,0.0
elephant,qID-2,A,32.595,T1_S2_C2,1.0,0.0
penguin,qID-2,B,117.256,P1,1.0,0.0
penguin,qID-1,B,15.278,P1,1.0,0.0
penguin,qID-3,B,11.19,P1,1.0,0.0
penguin,qID-3,B,11.685,P2,1.0,0.0
penguin,qID-2,B,19.411,P2,1.0,0.0
penguin,qID-1,B,12.02,P2,1.0,0.0
penguin,qID-1,B,27.871,P7,0.0,0.0
penguin,qID-11,B,27.181,P7,1.0,0.0
penguin,qID-12,B,8.694,P7,0.0,0.0
penguin,qID-13,B,3.507,P7,0.0,0.0
penguin,qID-1,B,12.895,P4,1.0,0.0
penguin,qID-1,B,8.241,P6,1.0,0.0
penguin,qID-1,B,28.252,P3,1.0,0.0
penguin,qID-1,B,12.742,P5,1.0,0.0
penguin,qID-0,B,134.106,T1_S1_C1,1.0,0.0
penguin,qID-11,B,18.179,T1_S1_C1,0.0,0.0
penguin,qID-12,B,37.125,T1_S1_C1,0.0,0.0
penguin,qID-13,B,93.869,T1_S1_C1,0.0,0.0
penguin,qID-2,B,30.827,T1_S1_C1,1.0,0.0
penguin,qID-3,B,37.947,T1_S1_C1,1.0,0.0
penguin,qID-0,B,118.973,T1_S1_C2,1.0,0.0
penguin,qID-11,B,43.687,T1_S1_C2,0.0,0.0
penguin,qID-12,B,48.165,T1_S1_C2,0.0,0.0
penguin,qID-13,B,14.557,T1_S1_C2,0.0,0.0
penguin,qID-3,B,42.45,T1_S1_C2,1.0,0.0
penguin,qID-4,B,12.36,T1_S1_C2,1.0,0.0
penguin,qID-0,B,81.249,T1_S1_IN3,1.0,0.0
penguin,qID-11,B,16.627,T1_S1_IN3,0.0,0.0
penguin,qID-3,B,43.774,T1_S1_IN3,1.0,0.0
penguin,qID-0,B,81.105,T1_S1_IN2,1.0,0.0
penguin,qID-11,B,2.489,T1_S1_IN2,0.0,0.0
penguin,qID-2,B,35.245,T1_S1_IN2,1.0,0.0
penguin,qID-1,B,29.016,T1_S1_IN2,0.0,0.0
penguin,qID-0,B,46.187,T1_S1_IN1,1.0,0.0
penguin,qID-11,B,3.755,T1_S1_IN1,0.0,0.0
penguin,qID-2,B,46.012,T1_S1_IN1,1.0,0.0
penguin,qID-3,B,25.158,T1_S1_IN1,1.0,0.0
penguin,qID-0,B,213.151,T1_S2_IN1,1.0,0.0
penguin,qID-11,B,2.482,T1_S2_IN1,1.0,0.0
penguin,qID-12,B,5.948,T1_S2_IN1,0.0,0.0
penguin,qID-13,B,51.493,T1_S2_IN1,0.0,0.0
penguin,qID-2,B,12.053,T1_S2_IN1,0.0,0.0
penguin,qID-0,B,204.842,T1_S2_IN2,1.0,0.0
penguin,qID-11,B,4.512,T1_S2_IN2,0.0,0.0
penguin,qID-2,B,47.753,T1_S2_IN2,1.0,0.0
penguin,qID-1,B,18.59,T1_S2_IN2,1.0,0.0
penguin,qID-0,B,141.874,T1_S2_C2,1.0,0.0
penguin,qID-11,B,2.164,T1_S2_C2,3.0,0.0
penguin,qID-1,B,10.934,T1_S2_C2,0.0,0.0
penguin,qID-2,B,15.432,T1_S2_C2,1.0,0.0
peacock,qID-3,B,58.04,P1,1.0,0.0
peacock,qID-1,B,24.407,P1,0.0,0.0
peacock,qID-2,B,4.379,P1,0.0,0.0
peacock,qID-2,B,15.429,P2,1.0,0.0
peacock,qID-3,B,7.687,P2,1.0,0.0
peacock,qID-1,B,9.413,P2,1.0,0.0
peacock,qID-1,B,20.281,P7,0.0,0.0
peacock,qID-13,B,7.7,P7,1.0,0.0
peacock,qID-12,B,2.653,P7,1.0,0.0
peacock,qID-11,B,11.824,P7,1.0,0.0
peacock,qID-1,B,6.242,P4,1.0,0.0
peacock,qID-1,B,7.665,P6,1.0,0.0
peacock,qID-1,B,4.894,P3,0.0,0.0
peacock,qID-1,B,10.316,P5,1.0,0.0
peacock,qID-0,A,143.815,T1_S1_IN2,1.0,0.0
peacock,qID-11,A,2.546,T1_S1_IN2,1.0,0.0
peacock,qID-12,A,11.826,T1_S1_IN2,1.0,0.0
peacock,qID-13,A,86.015,T1_S1_IN2,0.0,0.0
peacock,qID-2,A,12.98,T1_S1_IN2,1.0,0.0
peacock,qID-1,A,42.118,T1_S1_IN2,1.0,0.0
peacock,qID-0,A,112.706,T1_S1_IN1,1.0,0.0
peacock,qID-11,A,8.858,T1_S1_IN1,1.0,0.0
peacock,qID-12,A,6.129,T1_S1_IN1,1.0,0.0
peacock,qID-13,A,25.086,T1_S1_IN1,1.0,0.0
peacock,qID-3,A,14.926,T1_S1_IN1,1.0,0.0
peacock,qID-2,A,19.493,T1_S1_IN1,1.0,0.0
peacock,qID-0,A,95.995,T1_S1_C1,1.0,0.0
peacock,qID-11,A,1.687,T1_S1_C1,3.0,0.0
peacock,qID-3,A,24.716,T1_S1_C1,1.0,0.0
peacock,qID-2,A,19.177,T1_S1_C1,1.0,0.0
peacock,qID-0,A,126.042,T1_S1_C2,1.0,0.0
peacock,qID-11,A,2.51,T1_S1_C2,3.0,0.0
peacock,qID-4,A,21.7,T1_S1_C2,1.0,0.0
peacock,qID-3,A,20.026,T1_S1_C2,1.0,0.0
peacock,qID-0,A,91.144,T1_S1_IN3,1.0,0.0
peacock,qID-11,A,8.868,T1_S1_IN3,1.0,0.0
peacock,qID-12,A,5.486,T1_S1_IN3,1.0,0.0
peacock,qID-13,A,76.114,T1_S1_IN3,0.0,0.0
peacock,qID-3,A,5.76,T1_S1_IN3,0.0,0.0
peacock,qID-0,A,102.579,T1_S2_IN2,1.0,0.0
peacock,qID-11,A,2.221,T1_S2_IN2,1.0,0.0
peacock,qID-12,A,31.891,T1_S2_IN2,1.0,0.0
peacock,qID-13,A,40.211,T1_S2_IN2,1.0,0.0
peacock,qID-1,A,46.717,T1_S2_IN2,1.0,0.0
peacock,qID-2,A,28.337,T1_S2_IN2,1.0,0.0
peacock,qID-0,A,177.671,T1_S2_C2,1.0,0.0
peacock,qID-11,A,1.259,T1_S2_C2,3.0,0.0
peacock,qID-1,A,40.531,T1_S2_C2,1.0,0.0
peacock,qID-2,A,47.138,T1_S2_C2,1.0,0.0
peacock,qID-0,A,141.381,T1_S2_IN1,1.0,0.0
peacock,qID-11,A,1.582,T1_S2_IN1,1.0,0.0
peacock,qID-12,A,9.165,T1_S2_IN1,1.0,0.0
peacock,qID-13,A,55.502,T1_S2_IN1,1.0,0.0
peacock,qID-2,A,4.442,T1_S2_IN1,1.0,0.0
eagle,qID-1,B,72.789,P1,1.0,0.0
eagle,qID-3,B,12.96,P1,1.0,0.0
eagle,qID-2,B,17.56,P1,1.0,0.0
eagle,qID-1,B,14.669,P2,1.0,0.0
eagle,qID-3,B,11.705,P2,1.0,0.0
eagle,qID-2,B,9.378,P2,1.0,0.0
eagle,qID-1,B,31.36,P4,1.0,0.0
eagle,qID-12,B,10.358,P4,0.0,0.0
eagle,qID-11,B,45.824,P4,1.0,0.0
eagle,qID-13,B,9.595,P4,1.0,0.0
eagle,qID-1,B,15.165,P3,1.0,0.0
eagle,qID-1,B,14.528,P7,0.0,0.0
eagle,qID-1,B,23.038,P6,1.0,0.0
eagle,qID-1,B,10.925,P5,1.0,0.0
eagle,qID-0,B,237.066,T1_S1_C1,1.0,0.0
eagle,qID-11,B,77.375,T1_S1_C1,3.0,0.0
eagle,qID-2,B,25.797,T1_S1_C1,1.0,0.0
eagle,qID-3,B,23.26,T1_S1_C1,0.0,0.0
eagle,qID-0,B,411.912,T1_S1_C2,1.0,0.0
eagle,qID-11,B,29.064,T1_S1_C2,0.0,0.0
eagle,qID-12,B,69.96,T1_S1_C2,0.0,0.0
eagle,qID-13,B,8.003,T1_S1_C2,0.0,0.0
eagle,qID-0,B,131.948,T1_S1_IN3,1.0,0.0
eagle,qID-11,B,10.623,T1_S1_IN3,0.0,0.0
eagle,qID-3,B,15.422,T1_S1_IN3,1.0,0.0
eagle,qID-0,B,96.888,T1_S1_IN2,1.0,0.0
eagle,qID-11,B,2.301,T1_S1_IN2,0.0,0.0
eagle,qID-1,B,26.418,T1_S1_IN2,1.0,0.0
eagle,qID-2,B,44.999,T1_S1_IN2,1.0,0.0
eagle,qID-0,B,121.437,T1_S1_IN1,1.0,0.0
eagle,qID-11,B,1.68,T1_S1_IN1,0.0,0.0
eagle,qID-2,B,39.205,T1_S1_IN1,0.0,0.0
eagle,qID-3,B,32.231,T1_S1_IN1,0.0,0.0
eagle,qID-0,B,190.571,T1_S2_IN1,1.0,0.0
eagle,qID-11,B,2.459,T1_S2_IN1,0.0,0.0
eagle,qID-2,B,14.26,T1_S2_IN1,0.0,0.0
eagle,qID-0,B,153.779,T1_S2_IN2,1.0,0.0
eagle,qID-11,B,1.842,T1_S2_IN2,0.0,0.0
eagle,qID-2,B,15.954,T1_S2_IN2,0.0,0.0
eagle,qID-1,B,39.991,T1_S2_IN2,0.0,0.0
eagle,qID-0,B,177.941,T1_S2_C2,1.0,0.0
eagle,qID-11,B,1.92,T1_S2_C2,3.0,0.0
eagle,qID-1,B,33.082,T1_S2_C2,0.0,0.0
eagle,qID-2,B,13.938,T1_S2_C2,0.0,0.0
giraffe,qID-1,B,89.162,P1,1.0,0.0
giraffe,qID-3,B,8.819,P1,1.0,0.0
giraffe,qID-2,B,9.033,P1,1.0,0.0
giraffe,qID-3,B,8.819,P2,1.0,0.0
giraffe,qID-1,B,11.047,P2,1.0,0.0
giraffe,qID-2,B,9.084,P2,1.0,0.0
giraffe,qID-1,B,24.719,P7,0.0,0.0
giraffe,qID-12,B,5.335,P7,0.0,0.0
giraffe,qID-13,B,2.167,P7,0.0,0.0
giraffe,qID-11,B,24.172,P7,1.0,0.0
giraffe,qID-1,B,7.134,P4,1.0,0.0
giraffe,qID-1,B,8.539,P6,1.0,0.0
giraffe,qID-1,B,7.616,P5,1.0,0.0
giraffe,qID-1,B,7.201,P3,1.0,0.0
giraffe,qID-0,A,124.376,T1_S1_C2,1.0,0.0
giraffe,qID-11,A,30.166,T1_S1_C2,3.0,0.0
giraffe,qID-4,A,23.175,T1_S1_C2,1.0,0.0
giraffe,qID-3,A,26.024,T1_S1_C2,1.0,0.0
giraffe,qID-0,A,59.292,T1_S1_IN1,1.0,0.0
giraffe,qID-11,A,35.724,T1_S1_IN1,1.0,0.0
giraffe,qID-12,A,8.451,T1_S1_IN1,1.0,0.0
giraffe,qID-13,A,24.196,T1_S1_IN1,0.0,0.0
giraffe,qID-2,A,20.805,T1_S1_IN1,0.0,0.0
giraffe,qID-3,A,15.75,T1_S1_IN1,0.0,0.0
giraffe,qID-0,A,36.862,T1_S1_C1,1.0,0.0
giraffe,qID-11,A,1.41,T1_S1_C1,3.0,0.0
giraffe,qID-2,A,19.636,T1_S1_C1,0.0,0.0
giraffe,qID-3,A,30.233,T1_S1_C1,0.0,0.0
giraffe,qID-0,A,128.411,T1_S1_IN3,1.0,0.0
giraffe,qID-11,A,2.677,T1_S1_IN3,1.0,0.0
giraffe,qID-12,A,3.027,T1_S1_IN3,1.0,0.0
giraffe,qID-13,A,14.488,T1_S1_IN3,1.0,0.0
giraffe,qID-3,A,18.269,T1_S1_IN3,1.0,0.0
giraffe,qID-0,A,42.775,T1_S1_IN2,1.0,0.0
giraffe,qID-11,A,2.089,T1_S1_IN2,1.0,0.0
giraffe,qID-12,A,10.821,T1_S1_IN2,1.0,0.0
giraffe,qID-13,A,50.533,T1_S1_IN2,0.0,0.0
giraffe,qID-1,A,7.087,T1_S1_IN2,1.0,0.0
giraffe,qID-2,A,29.086,T1_S1_IN2,1.0,0.0
giraffe,qID-0,A,45.733,T1_S2_IN2,1.0,0.0
giraffe,qID-11,A,87.196,T1_S2_IN2,0.0,0.0
giraffe,qID-1,A,21.163,T1_S2_IN2,0.0,0.0
giraffe,qID-2,A,34.316,T1_S2_IN2,1.0,0.0
giraffe,qID-0,A,156.928,T1_S2_IN1,1.0,0.0
giraffe,qID-11,A,2.194,T1_S2_IN1,1.0,0.0
giraffe,qID-12,A,6.678,T1_S2_IN1,1.0,0.0
giraffe,qID-13,A,46.611,T1_S2_IN1,1.0,0.0
giraffe,qID-2,A,5.491,T1_S2_IN1,0.0,0.0
giraffe,qID-0,A,42.231,T1_S2_C2,1.0,0.0
giraffe,qID-11,A,3.032,T1_S2_C2,3.0,0.0
giraffe,qID-2,A,45.924,T1_S2_C2,1.0,0.0
giraffe,qID-1,A,11.709,T1_S2_C2,0.0,0.0
hippo,qID-2,B,95.151,P1,1.0,0.0
hippo,qID-1,B,22.829,P1,1.0,0.0
hippo,qID-3,B,11.98,P1,1.0,0.0
hippo,qID-2,B,7.747,P2,1.0,0.0
hippo,qID-1,B,6.715,P2,1.0,0.0
hippo,qID-3,B,7.426,P2,1.0,0.0
hippo,qID-1,B,13.871,P5,1.0,0.0
hippo,qID-12,B,12.031,P5,0.0,0.0
hippo,qID-13,B,3.638,P5,0.0,0.0
hippo,qID-11,B,34.779,P5,0.0,0.0
hippo,qID-1,B,12.737,P3,1.0,0.0
hippo,qID-1,B,10.066,P4,1.0,0.0
hippo,qID-1,B,10.104,P6,1.0,0.0
