,id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception,questionType,reason
15,seal,qID-11,A,1.372,S1_IN1,1.0,0,1,Is there a mistake? [11],"yes, there's a mistake","inconsistency, relies on, tick marks, all proof text","step 3, step 4",right,"geometric, direct lookup",,1.0,1
16,seal,qID-12,A,2.159,S1_IN1,1.0,0,1,Which step is wrong? [12],step 4,"inconsistency, construction, all proof text","step 3, step 4",right,"geometric, direct lookup",,2.0,1
17,seal,qID-13,A,1.239,S1_IN1,0.0,0,1,Describe reasoning [13],there's already enough information for SAS so to fix they would remove the red tick marks,"tick marks, construction, earlier proof steps (text)",step 4,wrong,"geometric, direct lookup",,3.0,0
18,seal,qID-2,A,5.321,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],no because different tick marks,"tick marks, construction",step 5,right,"geometric, direct lookup",,4.0,1
19,seal,qID-3,A,46.725,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],"no, not the same tick marks","construction, tick marks",step 5,right,"geometric, direct lookup",,4.0,1
21,seal,qID-11,A,10.541,S1_IN3,0.0,0,2,Is there a mistake? [11],"no mistake, quad == rectangle","construction, inconsistency, tick marks, all proof text",step 4,wrong,geometric,,1.0,0
22,seal,qID-3,A,16.644,S1_IN3,1.0,0,2,conclude KN congruent to ML? [3],yes bc matching ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
24,seal,qID-11,A,1.554,S1_IN2,1.0,0,3,Is there a mistake? [11],"yes, there's a mistake","inconsistency, construction, all proof text, tick marks, relies on",step 5,right,"geometric, direct lookup",,1.0,1
25,seal,qID-12,A,21.311,S1_IN2,1.0,0,3,Which step is wrong? [12],"step 5, issue with reason","tick marks, all proof text, construction",step 5,right,"geometric, direct lookup",,2.0,1
26,seal,qID-13,A,91.144,S1_IN2,0.0,0,3,Describe reasoning [13],use SSA to fix,construction,step 5,wrong,geometric,,3.0,0
27,seal,qID-2,A,19.456,S1_IN2,1.0,0,3,conclude KL congruent to KM? [2],no bc different ticks,tick marks,step 5,right,"geometric, direct lookup",,4.0,1
28,seal,qID-1,A,25.796,S1_IN2,1.0,0,3,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, can be used anywhere",,"step 4, step 1, step 2",right,geometric,,5.0,1
30,seal,qID-11,A,4.717,S1_C2,3.0,0,4,Is there a mistake? [11],no mistake,"construction, all proof text",step 9,right,geometric,,1.0,1
31,seal,qID-3,A,9.773,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],yes enough information,"earlier proof steps (text), relies on",step 5,right,geometric,,5.0,1
32,seal,qID-4,A,8.357,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],yes enough information,"earlier proof steps (text), relies on",step 7,right,geometric,,5.0,1
34,seal,qID-11,A,10.7,S1_C1,3.0,0,5,Is there a mistake? [11],no mistake,"construction, all proof text",step 7,right,geometric,,1.0,1
35,seal,qID-2,A,22.861,S1_C1,1.0,0,5,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, enough information",earlier proof steps (text),"step 4, step 1, step 2",right,geometric,,5.0,1
36,seal,qID-3,A,10.513,S1_C1,0.0,0,5,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thinks there's enough information (you COULD conclude that there's enough info for SAS but filled in the vertical angles in their head),"construction, tick marks","step 5, step 3, step 4",wrong,geometric,,5.0,0
38,seal,qID-11,A,1.558,S2_IN2,1.0,0,6,Is there a mistake? [11],"yes, wrong use of CPCTC","construction, inconsistency, tick marks",step 7,right,"geometric, direct lookup",,1.0,1
39,seal,qID-12,A,9.698,S2_IN2,1.0,0,6,Which step is wrong? [12],"step 7, wrong use of CPCTC","construction, inconsistency",step 7,right,"geometric, direct lookup",,2.0,1
40,seal,qID-13,A,6.075,S2_IN2,1.0,0,6,Describe reasoning [13],,,step 7,right,geometric,,3.0,1
41,seal,qID-2,A,16.093,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],"different angles, not congruent",construction,step 7,right,"geometric, direct lookup",,4.0,1
42,seal,qID-1,A,75.743,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information to complete,"earlier proof steps (text), construction","step 2, step 3",right,geometric,,5.0,1
43,seal,qID-11,A,67.111,S2_C2,3.0,0,7,Is there a mistake? [11],no mistake,"construction, all proof text",step 10,right,geometric,,1.0,1
44,seal,qID-2,A,22.719,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],"no, different ticks","construction, tick marks",step 1,right,"geometric, direct lookup",,4.0,1
45,seal,qID-1,A,83.525,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],no not enough information,earlier proof steps (text),"step 9, step 7, step 8",right,geometric,,5.0,1
48,seal,qID-11,A,3.027,S2_IN1,0.0,0,8,Is there a mistake? [11],"no mistake, saw red inconsistency but didn't understand what it meant or how to read it","construction, inconsistency, all proof text","step 8, step 9",wrong,geometric,,1.0,0
49,seal,qID-2,A,18.6,S2_IN1,0.0,0,8,conclude tLNU congruent to tUQL? [2],"yes, enough information",earlier proof steps (text),step 9,wrong,geometric,,4.0,0
65,zebra,qID-11,B,12.905,S1_IN1,0.0,0,1,Is there a mistake? [11],"looked at construction (showing SSA) and thought SAS requirements were met, so there's no mistake","construction, all proof text, tick marks",,wrong,geometric,,1.0,0
66,zebra,qID-2,B,24.422,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],"Not the same # of ticks, so no","tick marks, construction",,right,geometric,,4.0,1
67,zebra,qID-3,B,39.191,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],no because angles are not congruent to each other,"tick marks, construction",,right,geometric,,4.0,1
69,zebra,qID-11,B,77.084,S1_C2,3.0,0,2,Is there a mistake? [11],no mistake,"construction, all proof text",,right,geometric,,1.0,1
70,zebra,qID-4,B,29.344,S1_C2,1.0,0,2,enough info...ASA at step 7? [4],"yes, requirements for ASA met","construction, earlier proof steps (text)",,right,geometric,,5.0,1
71,zebra,qID-3,B,17.343,S1_C2,1.0,0,2,enough info...Congruent Adjacent Angles at step 5? [3],"yes, lines established to be perpendicular","construction, earlier proof steps (text)",,right,geometric,,5.0,1
73,zebra,qID-11,B,35.664,S1_C1,0.0,0,3,Is there a mistake? [11],yes bc thinks can't prove lines are parallel using triangle congruence,"construction, tick marks, all proof text",,wrong,geometric,,1.0,0
74,zebra,qID-12,B,30.351,S1_C1,0.0,0,3,Which step is wrong? [12],"step 7, issue with saying AC || BD","construction, all proof text",,wrong,geometric,,2.0,0
75,zebra,qID-13,B,29.739,S1_C1,0.0,0,3,Describe reasoning [13],doesn't think the last line can be corrected,,,wrong,geometric,,3.0,0
76,zebra,qID-2,B,60.054,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, knows lines are intersecting before","construction, earlier proof steps (text)",,right,geometric,,5.0,1
77,zebra,qID-3,B,16.369,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"no, need vertical angles before","construction, earlier proof steps (text)",,right,geometric,,5.0,1
79,zebra,qID-11,B,7.388,S1_IN3,0.0,0,4,Is there a mistake? [11],"Thinks quad == rectangle, no mistake","construction, all proof text",,wrong,geometric,,1.0,0
80,zebra,qID-3,B,10.084,S1_IN3,1.0,0,4,conclude KN congruent to ML? [3],yes bc same # ticks,"construction, tick marks",,right,geometric,,4.0,1
82,zebra,qID-11,B,14.364,S1_IN2,1.0,0,5,Is there a mistake? [11],Thinks AAS step is wrong,"construction, all proof text",,right,geometric,,1.0,1
83,zebra,qID-12,B,6.176,S1_IN2,1.0,0,5,Which step is wrong? [12],thinks step 5 is wrong bc AAS wrong reason to use,"construction, all proof text",,right,geometric,,2.0,1
84,zebra,qID-13,B,27.954,S1_IN2,0.0,0,5,Describe reasoning [13],Use SAS to fix (counts SAS incorrectly),"construction, all proof text",,wrong,geometric,,3.0,0
85,zebra,qID-2,B,13.074,S1_IN2,1.0,0,5,conclude KL congruent to KM? [2],no not enough info,"construction, tick marks",,right,geometric,,4.0,1
86,zebra,qID-1,B,27.775,S1_IN2,1.0,0,5,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, line is congruent to itself",all proof text,,right,geometric,,5.0,1
88,zebra,qID-11,B,76.008,S2_IN2,0.0,0,6,Is there a mistake? [11],"stopped reading after step 6, thinks there's no mistake","earlier proof steps (text), construction",,wrong,geometric,,1.0,0
89,zebra,qID-2,B,25.996,S2_IN2,0.0,0,6,conclude <MYZ congruent to <MWX? [2],yes b/c triangle congruence is established,,,wrong,geometric,,4.0,0
90,zebra,qID-1,B,44.115,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no, needs triangle congruence first",,,right,geometric,,5.0,1
92,zebra,qID-11,B,1.913,S2_C2,3.0,0,7,Is there a mistake? [11],no mistake,"construction, all proof text",,right,geometric,,1.0,1
93,zebra,qID-2,B,24.431,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],angles are not congruent to each other,construction,,right,geometric,,4.0,1
94,zebra,qID-1,B,27.608,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],SAS can't be moved earlier,earlier proof steps (text),,right,geometric,,5.0,1
96,zebra,qID-11,B,1.875,S2_IN1,1.0,0,8,Is there a mistake? [11],there's an issue with the proof with step 6 using ASA,"construction, all proof text",,wrong,geometric,,1.0,0
97,zebra,qID-12,B,16.333,S2_IN1,0.0,0,8,Which step is wrong? [12],"step 6, ASA is the wrong reason to use","construction, all proof text",,wrong,geometric,,2.0,0
98,zebra,qID-13,B,27.652,S2_IN1,0.0,0,8,Describe reasoning [13],use RHL instead of ASA (by using given step 2 and 3 + a reflexive side),"construction, tick marks, all proof text",,wrong,geometric,,3.0,0
99,zebra,qID-2,B,33.968,S2_IN1,0.0,0,8,conclude tLNU congruent to tUQL? [2],"yes, enough info to prove the 2 triangles congruent",all proof text,,wrong,geometric,,4.0,0
115,lion,qID-11,A,1.779,S1_IN2,1.0,0,1,Is there a mistake? [11],never established that corner angles are same,"inconsistency, all proof text, construction",step 5,right,"geometric, direct lookup",,1.0,1
116,lion,qID-12,A,2.752,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5 bc AAS is wrong,earlier proof steps (text),step 5,right,geometric,,2.0,1
117,lion,qID-13,A,1.526,S1_IN2,1.0,0,1,Describe reasoning [13],add step for < bisector and use SAS to solve,"construction, tick marks","step 1, step 2",right,geometric,,3.0,1
118,lion,qID-2,A,1.981,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],"no, bc hypotenuse is always going to be bigger",construction,step 1,right,geometric,,4.0,1
119,lion,qID-1,A,27.417,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, line is always equal to itself",construction,step 2,right,geometric,,5.0,1
121,lion,qID-11,A,37.192,S1_IN3,0.0,0,2,Is there a mistake? [11],thinks that quad == rectangle,"construction, tick marks, reason definition",step 4,wrong,geometric,quad != rectangle,1.0,0
122,lion,qID-3,A,30.348,S1_IN3,1.0,0,2,conclude KN congruent to ML? [3],"if quad, then there must be 2 pairs of equal sides","construction, reason definition",step 4,wrong,geometric,quad != rectangle,4.0,0
124,lion,qID-11,A,2.439,S1_IN1,0.0,0,3,Is there a mistake? [11],"sees the inconsistency (red lost its meaning here), doesn't recognize that the angles are not established. solved the proof in their head and was convinced that there was enough information to apply SAS","construction, relies on, inconsistency, all proof text",step 5,wrong,geometric,missed that BD had not been established yet and jumped to conclude that SAS was correct reason,1.0,0
125,lion,qID-3,A,29.748,S1_IN1,1.0,0,3, conclude <DBA congruent to <BCD? [3],triangles are not established to be equilateral,"construction, all proof text",step 3,right,geometric,,4.0,1
126,lion,qID-2,A,14.979,S1_IN1,1.0,0,3,conclude BA congruent to CB? [2],triangles are not established to be equilateral,"construction, all proof text",step 3,right,geometric,,4.0,1
128,lion,qID-11,A,2.37,S1_C2,3.0,0,4,Is there a mistake? [11],no issues with the proof,"construction, all proof text, reason definition",step 9,right,geometric,,1.0,1
129,lion,qID-4,A,10.674,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],"yes, because that's what they did as well",earlier proof steps (text),step 5,right,geometric,,5.0,1
130,lion,qID-3,A,12.532,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],already said lines perp so yes,all proof text,step 9,right,geometric,,5.0,1
132,lion,qID-11,A,72.469,S1_C1,3.0,0,5,Is there a mistake? [11],"no issues with the proof, triangles are mirror image of each other so the angles are the same","construction, all proof text, tick marks",step 7,right,geometric,,1.0,1
133,lion,qID-3,A,20.423,S1_C1,1.0,0,5,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],no bc didn't have vertical angles,"relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",,5.0,1
134,lion,qID-2,A,32.864,S1_C1,1.0,0,5,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],yes bc had intersecting lines,"relies on, earlier proof steps (text)",step 1,right,"geometric, direct lookup",,5.0,1
137,lion,qID-1,A,25.385,S2_C2,1.0,0,6,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],needs AB=BC to prove,"construction, tick marks",step 7,right,"geometric, direct lookup",,5.0,1
138,lion,qID-2,A,30.387,S2_C2,1.0,0,6,conclude <BAF congruent to <DCB? [2],different angles,construction,step 7,right,geometric,,4.0,1
140,lion,qID-11,A,1.553,S2_IN2,0.0,0,7,Is there a mistake? [11],"ignored the red inconsistency, said ""there's definitely a mistake but i missed it""","reason definition, all proof text, inconsistency, construction",step 8,wrong,"geometric, guess",,1.0,0
141,lion,qID-1,A,22.776,S2_IN2,1.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],no bc there's not enough information,earlier proof steps (text),step 1,right,geometric,,5.0,1
142,lion,qID-2,A,17.386,S2_IN2,0.0,0,7,conclude <MYZ congruent to <MWX? [2],yes bc of alternate interior angles,construction,step 2,wrong,geometric,thinks that both pairs of alt-int angles are congruent to each other,4.0,0
144,lion,qID-11,A,116.827,S2_IN1,1.0,0,8,Is there a mistake? [11],"know that information is missing, thinks angle L and U are missing","inconsistency, construction, all proof text",step 8,wrong,geometric,trying to solve for the wrong triangles,1.0,0
145,lion,qID-12,A,11.587,S2_IN1,0.0,0,8,Which step is wrong? [12],"step 7, confused about which triangles are being proven congruent","all proof text, construction",step 7,wrong,geometric,trying to solve for the wrong triangles,2.0,0
146,lion,qID-13,A,48.896,S2_IN1,0.0,0,8,Describe reasoning [13],subtract angles from each other and use some intersecting lines to get more angles to prove that smaller triangles are congruent,construction,step 7,wrong,geometric,trying to solve for the wrong triangles,3.0,0
147,lion,qID-2,A,10.941,S2_IN1,1.0,0,8,conclude tLNU congruent to tUQL? [2],no bc proof wasn't correct,,step 7,right,geometric,,4.0,1
163,lemur,qID-11,B,70.499,S1_IN2,1.0,0,1,Is there a mistake? [11],AAS is the wrong reason to use,"construction, all proof text",,right,geometric,,1.0,1
164,lemur,qID-12,B,11.148,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5,"construction, all proof text",,right,geometric,,2.0,1
165,lemur,qID-13,B,28.56,S1_IN2,0.0,0,1,Describe reasoning [13],should use SAS or SSA instead of AAS,,,wrong,geometric,doesn't realize SSA is not congruence theorem or that SAS doesn't work here,3.0,0
166,lemur,qID-1,B,69.256,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],not same # ticks,"construction, tick marks",,right,"geometric, direct lookup",,5.0,1
167,lemur,qID-2,B,16.415,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],"MK is the same line as MK, unsure if there's enough proof.",all proof text,,right,"geometric, guess",,4.0,1
169,lemur,qID-11,B,1.274,S1_C1,3.0,0,2,Is there a mistake? [11],everything seemed correct,"reason definition, construction, all proof text",,right,geometric,,1.0,1
170,lemur,qID-3,B,84.706,S1_C1,0.0,0,2,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thought vertical angles had already been established,"construction, reason definition",,wrong,geometric,thought enough reqs were met for SAS,5.0,0
173,lemur,qID-11,B,23.377,S1_IN1,1.0,0,3,Is there a mistake? [11],"no interior angle is defined before using SAS, should use SSS instead","all proof text, construction",,right,geometric,,1.0,1
174,lemur,qID-12,B,6.404,S1_IN1,1.0,0,3,Which step is wrong? [12],no interior angle is defined before using SAS,"all proof text, construction",,right,geometric,,2.0,1
175,lemur,qID-13,B,13.785,S1_IN1,0.0,0,3,Describe reasoning [13],thinks reason should be changed from SAS to SSS,construction,,wrong,geometric,doesn't realize reflexive step is needed for SSS,3.0,0
176,lemur,qID-2,B,14.838,S1_IN1,1.0,0,3,conclude BA congruent to CB? [2],not same number of tick marks,"construction, tick marks",,right,"geometric, direct lookup",,4.0,1
177,lemur,qID-3,B,83.932,S1_IN1,0.0,0,3, conclude <DBA congruent to <BCD? [3],if the triangles are congruent the 2 angles are congruent,"construction, earlier proof steps (text)",,wrong,geometric,misuse of CPCTC,4.0,0
179,lemur,qID-11,B,27.86,S1_IN3,0.0,0,4,Is there a mistake? [11],"thinks def quad = def rect and that there is no mistake, was confused about why angle N didn't have a 90 degree tick","tick marks, construction, all proof text",,wrong,geometric,thinks def quad = rect,1.0,0
180,lemur,qID-3,B,10.755,S1_IN3,1.0,0,4,conclude KN congruent to ML? [3],same # ticks,tick marks,,right,"geometric, direct lookup",,4.0,1
182,lemur,qID-11,B,102.322,S1_C2,3.0,0,5,Is there a mistake? [11],checked over proof and convinced everything is correct,"construction, reason definition, all proof text",,right,geometric,,1.0,1
183,lemur,qID-3,B,93.552,S1_C2,1.0,0,5,enough info...Congruent Adjacent Angles at step 5? [3],enough info to apply cong adj angles knowing that lines are perpendicular. wasn't confident in answer,"statement text, construction",,right,"geometric, guess",,5.0,1
184,lemur,qID-4,B,46.425,S1_C2,1.0,0,5,enough info...ASA at step 7? [4],"all reqs for ASA are met, not confident in answer","construction, earlier proof steps (text), tick marks",,right,geometric,,5.0,1
186,lemur,qID-11,B,58.742,S2_IN1,0.0,0,6,Is there a mistake? [11],"thought there wasn't enough info to use ASA, accidentally selected no mistake","construction, all proof text",,wrong,geometric,,1.0,0
187,lemur,qID-2,B,24.558,S2_IN1,0.0,0,6,conclude tLNU congruent to tUQL? [2],"not enough info to prove congruent because thought there was an issue with ASA, picked Yes",,,wrong,geometric,,4.0,0
189,lemur,qID-11,B,31.705,S2_IN2,1.0,0,7,Is there a mistake? [11],"thought not enough info to use SAS, but was very unsure","reason definition, construction, all proof text",,wrong,"geometric, guess",,1.0,0
190,lemur,qID-12,B,5.369,S2_IN2,0.0,0,7,Which step is wrong? [12],step 6 because of SAS,,,wrong,"geometric, guess",,2.0,0
191,lemur,qID-13,B,17.446,S2_IN2,0.0,0,7,Describe reasoning [13],verbally expressed that they were confused and didn't describe how to correct the proof,,,wrong,guess,,3.0,0
192,lemur,qID-1,B,42.601,S2_IN2,1.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough info to prove parallel,earlier proof steps (text),,right,geometric,,5.0,1
193,lemur,qID-2,B,11.198,S2_IN2,1.0,0,7,conclude <MYZ congruent to <MWX? [2],bc triangles aren't congruent the angles cannot be proven congruent,"earlier proof steps (text), construction",,wrong,geometric,,4.0,0
195,lemur,qID-11,B,2.498,S2_C2,0.0,0,8,Is there a mistake? [11],"lost track of the number of sides and angles that were established to be congruent, thought there wasn't enough info","construction, all proof text",,wrong,geometric,,1.0,0
196,lemur,qID-12,B,4.841,S2_C2,0.0,0,8,Which step is wrong? [12],step 9,,,wrong,geometric,,2.0,0
197,lemur,qID-13,B,60.805,S2_C2,0.0,0,8,Describe reasoning [13],thought there wasn't enough info for SAS by step 9,"construction, all proof text",,wrong,geometric,,3.0,0
198,lemur,qID-1,B,13.475,S2_C2,1.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],can't move step 9 before step 8 bc step 8 is one of the sides for SAS,earlier proof steps (text),,right,geometric,,5.0,1
199,lemur,qID-2,B,23.715,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],very different angles on construction,construction,,right,"geometric, direct lookup",,4.0,1
215,hedgehog,qID-11,A,27.844,S1_IN1,1.0,0,1,Is there a mistake? [11],"yes, SAS is wrong","construction, all proof text, inconsistency",step 4,right,"geometric, direct lookup",,1.0,1
217,hedgehog,qID-13,A,11.888,S1_IN1,0.0,0,1,Describe reasoning [13],thinks rows 4 and 5 should be switched,"tick marks, construction","step 4, step 5",wrong,geometric,sees that the angles they wanted to use for SAS are established in step 5 w/o noticing dependency on step 4,3.0,0
218,hedgehog,qID-3,A,47.715,S1_IN1,0.0,0,1, conclude <DBA congruent to <BCD? [3],"yes, misread the angles","tick marks, construction",step 5,wrong,"geometric, direct lookup",,4.0,0
219,hedgehog,qID-2,A,11.708,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],different ticks,"tick marks, construction",step 5,right,"geometric, direct lookup",,4.0,1
221,hedgehog,qID-11,A,61.96,S1_IN2,1.0,0,2,Is there a mistake? [11],"yes, step 5 is wrong","inconsistency, construction, all proof text","step 4, step 5",right,"geometric, direct lookup",,1.0,1
222,hedgehog,qID-12,A,4.067,S1_IN2,1.0,0,2,Which step is wrong? [12],step 5 bc not enough information for AAS,"inconsistency, construction, tick marks",step 5,right,"geometric, direct lookup",,2.0,1
223,hedgehog,qID-13,A,23.525,S1_IN2,0.0,0,2,Describe reasoning [13],thinks SSA would be the right fix,"construction, tick marks",step 5,wrong,geometric,SSA not a valid triangle congruence theorem,3.0,0
224,hedgehog,qID-2,A,11.872,S1_IN2,1.0,0,2,conclude KL congruent to KM? [2],different ticks,"construction, tick marks",step 5,right,"geometric, direct lookup",,4.0,1
225,hedgehog,qID-1,A,31.969,S1_IN2,1.0,0,2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],reflexive can go anywhere,earlier proof steps (text),step 5,right,geometric,,5.0,1
228,hedgehog,qID-3,A,17.025,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],needs vertical angles to apply SAS,"earlier proof steps (text), relies on",step 5,right,"geometric, direct lookup",,5.0,1
229,hedgehog,qID-2,A,16.076,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],vertical angles can be applied after intersecting lines,earlier proof steps (text),step 1,right,geometric,,5.0,1
231,hedgehog,qID-11,A,4.221,S1_C2,3.0,0,4,Is there a mistake? [11],no issues,"construction, all proof text",,right,geometric,,1.0,1
232,hedgehog,qID-4,A,10.308,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],yes bc reqs for ASA are met,"relies on, earlier proof steps (text)",step 7,right,"geometric, direct lookup",,5.0,1
233,hedgehog,qID-3,A,8.721,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],yes bc relies on parallel lines,"relies on, earlier proof steps (text)",step 5,right,"geometric, direct lookup",,5.0,1
235,hedgehog,qID-11,A,3.265,S1_IN3,1.0,0,5,Is there a mistake? [11],yes bc quad != rect,"inconsistency, tick marks, construction","step 6, step 4",right,"geometric, direct lookup",,1.0,1
237,hedgehog,qID-13,A,52.18,S1_IN3,1.0,0,5,Describe reasoning [13],cannot be fixed,,"step 6, step 4",right,geometric,,3.0,1
238,hedgehog,qID-3,A,9.052,S1_IN3,1.0,0,5,conclude KN congruent to ML? [3],yes bc given,tick marks,step 4,right,"geometric, direct lookup",,4.0,1
240,hedgehog,qID-11,A,1.682,S2_C2,3.0,0,6,Is there a mistake? [11],no issues,"construction, all proof text, relies on",,right,geometric,,1.0,1
