,id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception,questionType,reason
445,giraffe,qID-2,A,5.491,S2_IN1,0.0,0,7,conclude tLNU congruent to tUQL? [2],speeding and no reasoning,,step 1,wrong,unknown,,4.0,0
447,giraffe,qID-11,A,3.032,S2_C2,3.0,0,8,Is there a mistake? [11],no issues,"construction, relies on, all proof text",,right,geometric,,1.0,1
448,giraffe,qID-2,A,45.924,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],not the same angles,construction,,right,"geometric, direct lookup",,4.0,1
449,giraffe,qID-1,A,11.709,S2_C2,0.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],"checked step 7 instead of step 9, speeding","construction, earlier proof steps (text)",step 7,wrong,geometric,checked SAS at step 7 instead of step 9,5.0,0
465,eagle,qID-11,B,77.375,S1_C1,3.0,0,1,Is there a mistake? [11],"everything check out, not 100% confident","construction, all proof text",,right,geometric,,1.0,1
466,eagle,qID-2,B,25.797,S1_C1,1.0,0,1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],step 1 mentions intersection so there is enough info,"earlier proof steps (text), reason definition",,right,geometric,,5.0,1
467,eagle,qID-3,B,23.26,S1_C1,0.0,0,1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thought that vertical angles had already been used,earlier proof steps (text),,wrong,geometric,assumed vertical angles had been established already,5.0,0
469,eagle,qID-11,B,29.064,S1_C2,0.0,0,2,Is there a mistake? [11],yes for unclear reasons,"construction, all proof text",,wrong,"geometric, guess",can't tell what the exact misconception is at this point,1.0,0
470,eagle,qID-12,B,69.96,S1_C2,0.0,0,2,Which step is wrong? [12],"step 8 bc CPCTC talks about triangles while AD=DC is about segments, thinks there is mismatch between statement and the reason used","reason definition, construction, all proof text",,wrong,"geometric, guess",doesn't understand definition of CPCTC,2.0,0
473,eagle,qID-11,B,10.623,S1_IN3,0.0,0,3,Is there a mistake? [11],"no, didn't catch any issues, thought def. quad was fine","reason definition, all proof text, construction",,wrong,geometric,thought quad == rectangle,1.0,0
474,eagle,qID-3,B,15.422,S1_IN3,1.0,0,3,conclude KN congruent to ML? [3],thinks so,"tick marks, construction",,right,"geometric, direct lookup",,4.0,1
476,eagle,qID-11,B,2.301,S1_IN2,0.0,0,4,Is there a mistake? [11],"no, checked what AAS looked like but didn't realize that the proof hadn't established AAS","reason definition, reason def (illustration), construction, all proof text",,wrong,geometric,didn't keep track of whether AAS was the right reason to use,1.0,0
477,eagle,qID-1,B,26.418,S1_IN2,1.0,0,4,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, any fig congruent with itself","reason definition, construction",,right,geometric,,5.0,1
478,eagle,qID-2,B,44.999,S1_IN2,1.0,0,4,conclude KL congruent to KM? [2],"knows they are different lines, wasn't sure of answer","construction, tick marks",,right,"geometric, guess",,4.0,1
480,eagle,qID-11,B,1.68,S1_IN1,0.0,0,5,Is there a mistake? [11],"no, bc thinks all angles and sides match up so SAS and CPCTC are fine to use","tick marks, construction, all proof text, reason definition",,wrong,geometric,thought all angles and sides are congruent,1.0,0
481,eagle,qID-2,B,39.205,S1_IN1,0.0,0,5,conclude BA congruent to CB? [2],thinks that the segments could be congruent because of mirroring over the DB segment,"tick marks, construction",,wrong,"geometric, guess",thinks all angles and sides are congruent,4.0,0
482,eagle,qID-3,B,32.231,S1_IN1,0.0,0,5, conclude <DBA congruent to <BCD? [3],yes bc thinks all lines and angles are equivalent,"tick marks, construction, all proof text",,wrong,geometric,thinks all angles and sides are congruent,4.0,0
484,eagle,qID-11,B,2.459,S2_IN1,0.0,0,6,Is there a mistake? [11],"didn't catch mistake during read-through, losing track of their place while reading the proof","reason definition, construction, all proof text",,wrong,geometric,didn't catch the mistake,1.0,0
485,eagle,qID-2,B,14.26,S2_IN1,0.0,0,6,conclude tLNU congruent to tUQL? [2],based answer on read-through,construction,,wrong,geometric,,4.0,0
487,eagle,qID-11,B,1.842,S2_IN2,0.0,0,7,Is there a mistake? [11],"misread <MYZ=<MWX as <MZY=<MWX, so missed the mistake, otherwise followed the proof","tick marks, construction, reason definition, all proof text",,wrong,geometric,traced the wrong angles which influenced their reasoning,1.0,0
488,eagle,qID-2,B,15.954,S2_IN2,0.0,0,7,conclude <MYZ congruent to <MWX? [2],traced correct angles but still thought that they were congruent,construction,,wrong,geometric,traced the correct angles but believed that they visually looked correct,4.0,0
489,eagle,qID-1,B,39.991,S2_IN2,0.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],thinks that there is enough information based on only the setup (i.e. it looks like there are 2 parallel lines with a transversal so it must be possible to move the step),construction,,wrong,geometric,thinks that having a visually correct setup is enough to prove that the lines are parallel,5.0,0
491,eagle,qID-11,B,1.92,S2_C2,3.0,0,8,Is there a mistake? [11],"no, nothing caught their attention","construction, tick marks, all proof text, reason definition",,right,geometric,,1.0,1
492,eagle,qID-1,B,33.082,S2_C2,0.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],got tripped up on whether AB=BC was correct or if it needed to be named AB=CB to match the orientation of points. ,,,wrong,"geometric, guess",,5.0,0
493,eagle,qID-2,B,13.938,S2_C2,0.0,0,8,conclude <BAF congruent to <DCB? [2],traced out <BCG instead of <DCB,"tick marks, construction",,wrong,"geometric, direct lookup",,4.0,0
509,peacock,qID-11,A,2.546,S1_IN2,1.0,0,1,Is there a mistake? [11],"using AAS is wrong, didn't match up with what they were keeping track of while reading the proof","construction, tick marks, inconsistency, all proof text",step 5,right,geometric,,1.0,1
510,peacock,qID-12,A,11.826,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5 bc AAS is wrong,all proof text,step 5,right,geometric,,2.0,1
511,peacock,qID-13,A,86.015,S1_IN2,1.0,0,1,Describe reasoning [13],"know angle K is bisected by MK, delete reflexive step, then you can use AAS ","construction, all proof text",step 5,right,geometric,,3.0,1
512,peacock,qID-2,A,12.98,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],different lines,construction,step 1,right,"geometric, direct lookup",,4.0,1
513,peacock,qID-1,A,42.118,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes bc reflexive can go anywhere,,step 1,right,geometric,,5.0,1
515,peacock,qID-11,A,8.858,S1_IN1,1.0,0,2,Is there a mistake? [11],yes bc step 4 tries to use SAS,"construction, inconsistency, all proof text",step 4,right,geometric,,1.0,1
516,peacock,qID-12,A,6.129,S1_IN1,1.0,0,2,Which step is wrong? [12],step 4 uses SAS,"construction, inconsistency, all proof text",step 4,right,geometric,,2.0,1
517,peacock,qID-13,A,25.086,S1_IN1,1.0,0,2,Describe reasoning [13],reflexive BD and use SAS,"construction, tick marks",step 4,right,geometric,,3.0,1
518,peacock,qID-3,A,14.926,S1_IN1,1.0,0,2, conclude <DBA congruent to <BCD? [3],not enough info,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
519,peacock,qID-2,A,19.493,S1_IN1,1.0,0,2,conclude BA congruent to CB? [2],not enough to prove equilateral triangles,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
522,peacock,qID-3,A,24.716,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],not enough information,"construction, earlier proof steps (text)",step 7,right,geometric,,5.0,1
523,peacock,qID-2,A,19.177,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, bc just need intersecting lines","construction, earlier proof steps (text)",step 7,right,geometric,,5.0,1
525,peacock,qID-11,A,2.51,S1_C2,3.0,0,4,Is there a mistake? [11],proof looks right,"construction, tick marks, all proof text",step 7,right,geometric,,1.0,1
526,peacock,qID-4,A,21.7,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],enough info for ASA,"relies on, earlier proof steps (text)",step 6,right,"geometric, direct lookup",,5.0,1
527,peacock,qID-3,A,20.026,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],"would have that the lines are perp, so yes","relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",,5.0,1
529,peacock,qID-11,A,8.868,S1_IN3,1.0,0,5,Is there a mistake? [11],needs some steps to get there because def quad is not right reason,"construction, inconsistency, all proof text",step 4,right,geometric,,1.0,1
530,peacock,qID-12,A,5.486,S1_IN3,1.0,0,5,Which step is wrong? [12],step 4 bc def quad is not right reason,"construction, inconsistency",step 4,right,geometric,,2.0,1
531,peacock,qID-13,A,76.114,S1_IN3,1.0,0,5,Describe reasoning [13],doesn't think they can correct the proof but they're not sure if it can be corrected,construction,step 4,right,"geometric, guess",,3.0,1
532,peacock,qID-3,A,5.76,S1_IN3,0.0,0,5,conclude KN congruent to ML? [3],"said no, rushed",,,wrong,unknown,,4.0,0
534,peacock,qID-11,A,2.221,S2_IN2,1.0,0,6,Is there a mistake? [11],issue with step 7 because angles are incorrect,"inconsistency, relies on, construction, tick marks, all proof text","step 7, step 8",right,"geometric, direct lookup",,1.0,1
535,peacock,qID-12,A,31.891,S2_IN2,1.0,0,6,Which step is wrong? [12],step 7 bc angles are not correct,"inconsistency, all proof text",step 7,right,"geometric, direct lookup",,2.0,1
536,peacock,qID-13,A,40.211,S2_IN2,1.0,0,6,Describe reasoning [13],angle Y=X gives you opposite interior angles,construction,step 7,right,geometric,,3.0,1
537,peacock,qID-1,A,46.717,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no, guess",,,wrong,guess,,5.0,0
538,peacock,qID-2,A,28.337,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],"no, because they're different angles","construction, tick marks",step 7,right,"geometric, direct lookup",,4.0,1
540,peacock,qID-11,A,1.259,S2_C2,3.0,0,7,Is there a mistake? [11],everything checked out,"construction, all proof text",step 10,right,geometric,,1.0,1
541,peacock,qID-1,A,40.531,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],"angle and a side, but missing a side, so no","construction, tick marks, earlier proof steps (text)",step 7,right,geometric,,5.0,1
542,peacock,qID-2,A,47.138,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],"doesn't think so, not sure",construction,step 7,right,"geometric, guess",,4.0,1
544,peacock,qID-11,A,1.582,S2_IN1,1.0,0,8,Is there a mistake? [11],haven't said that the triangles are congruent yet so there's a mistake,"construction, inconsistency, all proof text",step 8,right,"geometric, direct lookup",,1.0,1
545,peacock,qID-12,A,9.165,S2_IN1,1.0,0,8,Which step is wrong? [12],step 8 had a weird angle,"construction, tick marks",step 7,right,"geometric, direct lookup",,2.0,1
546,peacock,qID-13,A,55.502,S2_IN1,1.0,0,8,Describe reasoning [13],LU reflexive and use SAS,construction,step 7,right,geometric,,3.0,1
547,peacock,qID-2,A,4.442,S2_IN1,1.0,0,8,conclude tLNU congruent to tUQL? [2],no because proof isn't correct,,step 7,right,geometric,,4.0,1
563,penguin,qID-11,B,18.179,S1_C1,0.0,0,1,Is there a mistake? [11],"yes, accidentally picked answer?","construction, all proof text",,wrong,"geometric, guess",,1.0,0
564,penguin,qID-12,B,37.125,S1_C1,0.0,0,1,Which step is wrong? [12],"picked step 5, thinks SAS is wrong reason","construction, all proof text",,wrong,geometric,,2.0,0
565,penguin,qID-13,B,93.869,S1_C1,0.0,0,1,Describe reasoning [13],"pretty confused here, not sure what SAS is, thinks vertical angles was not established","construction, all proof text",,wrong,"geometric, guess",,3.0,0
566,penguin,qID-2,B,30.827,S1_C1,1.0,0,1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],thinks there's enough info,"reason definition, construction, earlier proof steps (text)",,right,geometric,,5.0,1
567,penguin,qID-3,B,37.947,S1_C1,1.0,0,1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"read def and is not confused anymore, thinks vert angles needed for SAS","reason definition, earlier proof steps (text), construction",,right,geometric,,5.0,1
569,penguin,qID-11,B,43.687,S1_C2,0.0,0,2,Is there a mistake? [11],"thinks proof is inefficient, there's too much unnecessary stuff",,,wrong,geometric,"doesn't realize that the reason why proof is ""too many steps"" is because everything is needed to derive the property of angle bisector within a triangle",1.0,0
570,penguin,qID-12,B,48.165,S1_C2,0.0,0,2,Which step is wrong? [12],starting from step 3 it becomes redundant,,,wrong,geometric,,2.0,0
571,penguin,qID-13,B,14.557,S1_C2,0.0,0,2,Describe reasoning [13],thinks 3-8 is useless,,,wrong,geometric,,3.0,0
572,penguin,qID-3,B,42.45,S1_C2,1.0,0,2,enough info...Congruent Adjacent Angles at step 5? [3],there's too much info,,,right,geometric,,5.0,1
573,penguin,qID-4,B,12.36,S1_C2,1.0,0,2,enough info...ASA at step 7? [4],yes conditions for ASA are met,,,right,geometric,,5.0,1
575,penguin,qID-11,B,16.627,S1_IN3,0.0,0,3,Is there a mistake? [11],"missed mistake, and thought step 4 was extra","tick marks, construction, all proof text",,wrong,geometric,visually assumed that the quad was a rectangle,1.0,0
576,penguin,qID-3,B,43.774,S1_IN3,1.0,0,3,conclude KN congruent to ML? [3],it's given,given,,right,geometric,,4.0,1
578,penguin,qID-11,B,2.489,S1_IN2,0.0,0,4,Is there a mistake? [11],"missed mistake, glossing over AAS","construction, all proof text",,wrong,geometric,,1.0,0
579,penguin,qID-2,B,35.245,S1_IN2,1.0,0,4,conclude KL congruent to KM? [2],not the same line,"construction, tick marks",,right,"geometric, direct lookup",,4.0,1
580,penguin,qID-1,B,29.016,S1_IN2,0.0,0,4,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],need that JK and LK are congruent to use reflexive prop,all proof text,,wrong,geometric,"misunderstanding about what reflexive prop is, thinks it's reflective prop (everything gets mirrored over the reflective axis)",5.0,0
582,penguin,qID-11,B,3.755,S1_IN1,0.0,0,5,Is there a mistake? [11],"missed mistake, glossing over SAS","construction, all proof text",,wrong,geometric,thinks having 2 sides and angle is enough for SAS,1.0,0
583,penguin,qID-2,B,46.012,S1_IN1,1.0,0,5,conclude BA congruent to CB? [2],different # of ticks,"construction, tick marks",,right,"geometric, direct lookup",,4.0,1
584,penguin,qID-3,B,25.158,S1_IN1,1.0,0,5, conclude <DBA congruent to <BCD? [3],different # of ticks,"construction, tick marks",,right,"geometric, direct lookup",,4.0,1
586,penguin,qID-11,B,2.482,S2_IN1,1.0,0,6,Is there a mistake? [11],"yes, forgot what the proof is proving and misread some rows","construction, all proof text",,wrong,geometric,did not correctly keep track of the state of the proof,1.0,0
587,penguin,qID-12,B,5.948,S2_IN1,0.0,0,6,Which step is wrong? [12],"step 6, thinks ASA should be AAS","construction, all proof text",,wrong,geometric,,2.0,0
588,penguin,qID-13,B,51.493,S2_IN1,0.0,0,6,Describe reasoning [13],proposes changing step 6 ASA to AAS and moving step 6 right after the givens,,,wrong,geometric,,3.0,0
589,penguin,qID-2,B,12.053,S2_IN1,0.0,0,6,conclude tLNU congruent to tUQL? [2],yes with a lot of extra information,earlier proof steps (text),,wrong,geometric,based on incorrect assumptions about state of the proof,4.0,0
591,penguin,qID-11,B,4.512,S2_IN2,0.0,0,7,Is there a mistake? [11],"thinks step 6 and 7 are useless and don't add any information, thinks CPCTC is useless, but didn't read the proof carefully","reason definition, construction, all proof text",,wrong,geometric,,1.0,0
592,penguin,qID-2,B,47.753,S2_IN2,1.0,0,7,conclude <MYZ congruent to <MWX? [2],correctly identified what the appropriate angles would be,construction,,right,geometric,,4.0,1
593,penguin,qID-1,B,18.59,S2_IN2,1.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"""picture gives so much more information than the proof"", but still understands that some steps must be necessary before using alt-int angles","construction, earlier proof steps (text)",,right,geometric,,5.0,1
595,penguin,qID-11,B,2.164,S2_C2,3.0,0,8,Is there a mistake? [11],no because everything made sense even with extra steps,"construction, all proof text, tick marks",,right,geometric,,1.0,1
596,penguin,qID-1,B,10.934,S2_C2,0.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],yes bc thinks that any CPCTC step is useless,earlier proof steps (text),,wrong,geometric,believes that CPCTC never needs to be used,5.0,0
597,penguin,qID-2,B,15.432,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],completely different angles,construction,,right,geometric,,4.0,1
613,elephant,qID-11,A,8.482,S1_IN1,1.0,0,1,Is there a mistake? [11],"found that proof established SSA and used SAS, immediately noticed red inconsistency and then investigated: ""what's that?""","inconsistency, tick marks, construction",step 4,right,geometric,,1.0,1
614,elephant,qID-12,A,56.134,S1_IN1,1.0,0,1,Which step is wrong? [12],"looked through proof again, checked step 5 before concluding step 4 was using SSA again","construction, tick marks, inconsistency","step 4, step 5",right,geometric,,2.0,1
615,elephant,qID-13,A,31.333,S1_IN1,1.0,0,1,Describe reasoning [13],"add BD=BD reflexive, then use SAS",construction,step 4,right,geometric,,3.0,1
616,elephant,qID-2,A,30.195,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],"not necessarily congruent, don't have same # of ticks","construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
617,elephant,qID-3,A,40.779,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],not same number of ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
619,elephant,qID-11,A,3.084,S1_IN2,1.0,0,2,Is there a mistake? [11],recognized that only 1 side and 1 angle were used for ASA,"tick marks, construction, inconsistency",step 5,right,geometric,,1.0,1
620,elephant,qID-12,A,9.63,S1_IN2,0.0,0,2,Which step is wrong? [12],step 4 because red ? was next to step 4,"inconsistency, relies on",step 5,wrong,direct lookup,didn't fully keep track of state of proof geometrically and picked answer bc of misleading visual cue,2.0,0
621,elephant,qID-13,A,64.608,S1_IN2,0.0,0,2,Describe reasoning [13],skipped many steps established lots of extra information to prove AAS,construction,step 5,wrong,geometric,too focused on proving with AAS instead of recognizing that RHL was already met,3.0,0
622,elephant,qID-2,A,14.812,S1_IN2,1.0,0,2,conclude KL congruent to KM? [2],don't have to be congruent,"construction, tick marks",step 5,right,"geometric, direct lookup",,4.0,1
623,elephant,qID-1,A,65.004,S1_IN2,1.0,0,2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],MK is always going to = MK,statement text,step 1,right,geometric,,5.0,1
625,elephant,qID-11,A,46.104,S1_C2,3.0,0,3,Is there a mistake? [11],walked through the whole proof and described each step geometrically. Nothing seemed to be wrong to them/pretty straightforward read of the proof.,"construction, tick marks, all proof text",,right,geometric,,1.0,1
626,elephant,qID-4,A,18.551,S1_C2,1.0,0,3,enough info...ASA at step 7? [4],"bc lines are established as perp, can conclude","earlier proof steps (text), construction",step 5,right,geometric,,5.0,1
627,elephant,qID-3,A,35.722,S1_C2,1.0,0,3,enough info...Congruent Adjacent Angles at step 5? [3],bc requirements for ASA have already been met,"tick marks, construction",step 9,right,"geometric, direct lookup",,5.0,1
629,elephant,qID-11,A,9.085,S1_C1,0.0,0,4,Is there a mistake? [11],Thinks that SAS triangle congruence is incorrectly applied because of the way that the triangles are named not aligning with matching SAS.,"statement text, construction",step 5,wrong,geometric,thinks that the ordering of the name of the triangle is significant,1.0,0
630,elephant,qID-12,A,9.521,S1_C1,0.0,0,4,Which step is wrong? [12],step 5,,,wrong,geometric,,2.0,0
631,elephant,qID-13,A,33.018,S1_C1,0.0,0,4,Describe reasoning [13],"Thinks that 2 pieces of information are missing, wants to find information that would match the order laid out in the proof (so an additional pair of segments and pair of angles would need to be proven true in order for the proof to be correct).","statement text, construction",,wrong,geometric,misunderstanding reqs to describe SAS,3.0,0
632,elephant,qID-2,A,48.032,S1_C1,1.0,0,4,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],bc lines are intersecting,earlier proof steps (text),step 2,right,geometric,,5.0,1
633,elephant,qID-3,A,64.404,S1_C1,1.0,0,4,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],Had trouble keeping track of the information that was known and was not sure if enough sides had been proven congruent by step 3. Did not catch the fact that there was no angle demonstrated.,"construction, tick marks",,wrong,"geometric, guess",got answer right but reasoning was based on fixation that SAS was incorrectly applied,5.0,0
635,elephant,qID-11,A,2.921,S1_IN3,1.0,0,5,Is there a mistake? [11],notices inconsistency,"inconsistency, tick marks, construction",step 4,right,geometric,,1.0,1
636,elephant,qID-12,A,8.84,S1_IN3,1.0,0,5,Which step is wrong? [12],step 4,"inconsistency, tick marks, construction",step 4,right,geometric,,2.0,1
637,elephant,qID-13,A,55.201,S1_IN3,1.0,0,5,Describe reasoning [13],"quad != rectangle, can't claim opp angles are equal. also would need more information to solve",construction,step 4,right,geometric,,3.0,1
638,elephant,qID-3,A,10.958,S1_IN3,1.0,0,5,conclude KN congruent to ML? [3],same # ticks,"tick marks, construction",,right,"direct lookup, geometric",,4.0,1
640,elephant,qID-11,A,1.987,S2_IN2,1.0,0,6,Is there a mistake? [11],"CPCTC incorrectly used, noticed inconsistency","inconsistency, construction, tick marks",step 7,right,geometric,,1.0,1
641,elephant,qID-12,A,8.196,S2_IN2,1.0,0,6,Which step is wrong? [12],step 7,"inconsistency, construction, tick marks",step 7,right,geometric,,2.0,1
642,elephant,qID-13,A,23.059,S2_IN2,1.0,0,6,Describe reasoning [13],use correct CPCTC and then alt-int angles,construction,step 8,right,geometric,,3.0,1
643,elephant,qID-1,A,34.612,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information to talk about parallel lines,earlier proof steps (text),step 8,right,geometric,,5.0,1
644,elephant,qID-2,A,24.532,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],angles are not the same,"construction, tick marks",step 8,right,geometric,,4.0,1
646,elephant,qID-11,A,5.093,S2_IN1,1.0,0,7,Is there a mistake? [11],angles in step 8 are not proven to be congruent before use,"tick marks, construction",step 8,right,geometric,,1.0,1
647,elephant,qID-12,A,5.685,S2_IN1,1.0,0,7,Which step is wrong? [12],step 8,,,right,geometric,,2.0,1
648,elephant,qID-13,A,57.027,S2_IN1,1.0,0,7,Describe reasoning [13],add LU=LU and use SAS instead,"construction, earlier proof steps (text)",step 9,right,geometric,,3.0,1
649,elephant,qID-2,A,15.786,S2_IN1,1.0,0,7,conclude tLNU congruent to tUQL? [2],"could be true but wasn't correctly established by the proof, so no",earlier proof steps (text),,right,geometric,,4.0,1
651,elephant,qID-11,A,23.161,S2_C2,3.0,0,8,Is there a mistake? [11],"Thinks SAS is incorrectly applied bc the marked segments/angles don't match the same order of the named triangle, then clicked No (accidentally?)","statement text, construction, tick marks",,wrong,"geometric, guess",misunderstanding reqs to describe SAS,1.0,0
652,elephant,qID-1,A,152.575,S2_C2,1.0,0,8,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],can't prove SAS without step 8,"construction, tick marks, relies on, earlier proof steps (text)","step 9, step 8",right,geometric,,5.0,1
653,elephant,qID-2,A,32.595,S2_C2,1.0,0,8,conclude <BAF congruent to <DCB? [2],"not the same angle, by looking at construction",construction,step 8,right,"geometric, direct lookup",,4.0,1
