participant,proof,question,reasoning,visual queues used,steps viewed?,reasoning,type of understanding,misconception
elephant,S1_C1,Is there a mistake? [11],Thinks that SAS triangle congruence is incorrectly applied because of the way that the triangles are named not aligning with matching SAS.,"statement text, construction",step 5,wrong,geometric,thinks that the ordering of the name of the triangle is significant
elephant,S1_C1,Which step is wrong? [12],step 5,,,wrong,geometric,
elephant,S1_C1,Describe reasoning [13],"Thinks that 2 pieces of information are missing, wants to find information that would match the order laid out in the proof (so an additional pair of segments and pair of angles would need to be proven true in order for the proof to be correct).","statement text, construction",,wrong,geometric,misunderstanding reqs to describe SAS
elephant,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],Had trouble keeping track of the information that was known and was not sure if enough sides had been proven congruent by step 3. Did not catch the fact that there was no angle demonstrated.,"construction, tick marks",,wrong,"geometric, guess",got answer right but reasoning was based on fixation that SAS was incorrectly applied
elephant,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],bc lines are intersecting,earlier proof steps (text),step 2,right,geometric,
elephant,S1_C2,Is there a mistake? [11],walked through the whole proof and described each step geometrically. Nothing seemed to be wrong to them/pretty straightforward read of the proof.,"construction, tick marks, all proof text",,right,geometric,
elephant,S1_C2,Which step is wrong? [12],,,,,,
elephant,S1_C2,Describe reasoning [13],,,,,,
elephant,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],bc requirements for ASA have already been met,"tick marks, construction",step 9,right,"geometric, direct lookup",
elephant,S1_C2,enough info...ASA at step 7? [4],"bc lines are established as perp, can conclude","earlier proof steps (text), construction",step 5,right,geometric,
elephant,S1_IN1,Is there a mistake? [11],"found that proof established SSA and used SAS, immediately noticed red inconsistency and then investigated: ""what's that?""","inconsistency, tick marks, construction",step 4,right,geometric,
elephant,S1_IN1,Which step is wrong? [12],"looked through proof again, checked step 5 before concluding step 4 was using SSA again","construction, tick marks, inconsistency","step 4, step 5",right,geometric,
elephant,S1_IN1,Describe reasoning [13],"add BD=BD reflexive, then use SAS",construction,step 4,right,geometric,
elephant,S1_IN1,conclude BA congruent to CB? [2],"not necessarily congruent, don't have same # of ticks","construction, tick marks",step 4,right,"geometric, direct lookup",
elephant,S1_IN1, conclude <DBA congruent to <BCD? [3],not same number of ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",
elephant,S1_IN2,Is there a mistake? [11],recognized that only 1 side and 1 angle were used for ASA,"tick marks, construction, inconsistency",step 5,right,geometric,
elephant,S1_IN2,Which step is wrong? [12],step 4 because red ? was next to step 4,"inconsistency, relies on",step 5,wrong,direct lookup,didn't fully keep track of state of proof geometrically and picked answer bc of misleading visual cue
elephant,S1_IN2,Describe reasoning [13],skipped many steps established lots of extra information to prove AAS,construction,step 5,wrong,geometric,too focused on proving with AAS instead of recognizing that RHL was already met
elephant,S1_IN2,conclude KL congruent to KM? [2],don't have to be congruent,"construction, tick marks",step 5,right,"geometric, direct lookup",
elephant,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],MK is always going to = MK,statement text,step 1,right,geometric,
elephant,S1_IN3,Is there a mistake? [11],notices inconsistency,"inconsistency, tick marks, construction",step 4,right,geometric,
elephant,S1_IN3,Which step is wrong? [12],step 4,"inconsistency, tick marks, construction",step 4,right,geometric,
elephant,S1_IN3,Describe reasoning [13],"quad != rectangle, can't claim opp angles are equal. also would need more information to solve",construction,step 4,right,geometric,
elephant,S1_IN3,conclude KN congruent to ML? [3],same # ticks,"tick marks, construction",,right,"direct lookup, geometric",
elephant,S2_C2,Is there a mistake? [11],"Thinks SAS is incorrectly applied bc the marked segments/angles don't match the same order of the named triangle, then clicked No (accidentally?)","statement text, construction, tick marks",,wrong,"geometric, guess",misunderstanding reqs to describe SAS
elephant,S2_C2,Which step is wrong? [12],,,,,,
elephant,S2_C2,Describe reasoning [13],,,,,,
elephant,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],can't prove SAS without step 8,"construction, tick marks, relies on, earlier proof steps (text)","step 9, step 8",right,geometric,
elephant,S2_C2,conclude <BAF congruent to <DCB? [2],"not the same angle, by looking at construction",construction,step 8,right,"geometric, direct lookup",
elephant,S2_IN1,Is there a mistake? [11],angles in step 8 are not proven to be congruent before use,"tick marks, construction",step 8,right,geometric,
elephant,S2_IN1,Which step is wrong? [12],step 8,,,right,geometric,
elephant,S2_IN1,Describe reasoning [13],add LU=LU and use SAS instead,"construction, earlier proof steps (text)",step 9,right,geometric,
elephant,S2_IN1,conclude tLNU congruent to tUQL? [2],"could be true but wasn't correctly established by the proof, so no",earlier proof steps (text),,right,geometric,
elephant,S2_IN2,Is there a mistake? [11],"CPCTC incorrectly used, noticed inconsistency","inconsistency, construction, tick marks",step 7,right,geometric,
elephant,S2_IN2,Which step is wrong? [12],step 7,"inconsistency, construction, tick marks",step 7,right,geometric,
elephant,S2_IN2,Describe reasoning [13],use correct CPCTC and then alt-int angles,construction,step 8,right,geometric,
elephant,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information to talk about parallel lines,earlier proof steps (text),step 8,right,geometric,
elephant,S2_IN2,conclude <MYZ congruent to <MWX? [2],angles are not the same,"construction, tick marks",step 8,right,geometric,
lemur,S1_C1,Is there a mistake? [11],everything seemed correct,"reason definition, construction, all proof text",,right,geometric,
lemur,S1_C1,Which step is wrong? [12],,,,,,
lemur,S1_C1,Describe reasoning [13],,,,,,
lemur,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thought vertical angles had already been established,"construction, reason definition",,wrong,geometric,thought enough reqs were met for SAS
lemur,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],wasn't sure,construction,,,guess,didn't know that intersecting vert angles could be applied as long as there are intersecting lines
lemur,S1_C2,Is there a mistake? [11],checked over proof and convinced everything is correct,"construction, reason definition, all proof text",,right,geometric,
lemur,S1_C2,Which step is wrong? [12],,,,,,
lemur,S1_C2,Describe reasoning [13],,,,,,
lemur,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],enough info to apply cong adj angles knowing that lines are perpendicular. wasn't confident in answer,"statement text, construction",,right,"geometric, guess",
lemur,S1_C2,enough info...ASA at step 7? [4],"all reqs for ASA are met, not confident in answer","construction, earlier proof steps (text), tick marks",,right,geometric,
lemur,S1_IN1,Is there a mistake? [11],"no interior angle is defined before using SAS, should use SSS instead","all proof text, construction",,right,geometric,
lemur,S1_IN1,Which step is wrong? [12],no interior angle is defined before using SAS,"all proof text, construction",,right,geometric,
lemur,S1_IN1,Describe reasoning [13],thinks reason should be changed from SAS to SSS,construction,,wrong,geometric,doesn't realize reflexive step is needed for SSS
lemur,S1_IN1,conclude BA congruent to CB? [2],not same number of tick marks,"construction, tick marks",,right,"geometric, direct lookup",
lemur,S1_IN1, conclude <DBA congruent to <BCD? [3],if the triangles are congruent the 2 angles are congruent,"construction, earlier proof steps (text)",,wrong,geometric,misuse of CPCTC
lemur,S1_IN2,Is there a mistake? [11],AAS is the wrong reason to use,"construction, all proof text",,right,geometric,
lemur,S1_IN2,Which step is wrong? [12],step 5,"construction, all proof text",,right,geometric,
lemur,S1_IN2,Describe reasoning [13],should use SAS or SSA instead of AAS,,,wrong,geometric,doesn't realize SSA is not congruence theorem or that SAS doesn't work here
lemur,S1_IN2,conclude KL congruent to KM? [2],"MK is the same line as MK, unsure if there's enough proof.",all proof text,,right,"geometric, guess",
lemur,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],not same # ticks,"construction, tick marks",,right,"geometric, direct lookup",
lemur,S1_IN3,Is there a mistake? [11],"thinks def quad = def rect and that there is no mistake, was confused about why angle N didn't have a 90 degree tick","tick marks, construction, all proof text",,wrong,geometric,thinks def quad = rect
lemur,S1_IN3,Which step is wrong? [12],,,,,,
lemur,S1_IN3,Describe reasoning [13],,,,,,
lemur,S1_IN3,conclude KN congruent to ML? [3],same # ticks,tick marks,,right,"geometric, direct lookup",
lemur,S2_C2,Is there a mistake? [11],"lost track of the number of sides and angles that were established to be congruent, thought there wasn't enough info","construction, all proof text",,wrong,geometric,
lemur,S2_C2,Which step is wrong? [12],step 9,,,wrong,geometric,
lemur,S2_C2,Describe reasoning [13],thought there wasn't enough info for SAS by step 9,"construction, all proof text",,wrong,geometric,
lemur,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],can't move step 9 before step 8 bc step 8 is one of the sides for SAS,earlier proof steps (text),,right,geometric,
lemur,S2_C2,conclude <BAF congruent to <DCB? [2],very different angles on construction,construction,,right,"geometric, direct lookup",
lemur,S2_IN1,Is there a mistake? [11],"thought there wasn't enough info to use ASA, accidentally selected no mistake","construction, all proof text",,wrong,geometric,
lemur,S2_IN1,Which step is wrong? [12],,,,,,
lemur,S2_IN1,Describe reasoning [13],,,,,,
lemur,S2_IN1,conclude tLNU congruent to tUQL? [2],"not enough info to prove congruent because thought there was an issue with ASA, picked Yes",,,wrong,geometric,
lemur,S2_IN2,Is there a mistake? [11],"thought not enough info to use SAS, but was very unsure","reason definition, construction, all proof text",,wrong,"geometric, guess",
lemur,S2_IN2,Which step is wrong? [12],step 6 because of SAS,,,wrong,"geometric, guess",
lemur,S2_IN2,Describe reasoning [13],verbally expressed that they were confused and didn't describe how to correct the proof,,,wrong,guess,
lemur,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough info to prove parallel,earlier proof steps (text),,right,geometric,
lemur,S2_IN2,conclude <MYZ congruent to <MWX? [2],bc triangles aren't congruent the angles cannot be proven congruent,"earlier proof steps (text), construction",,wrong,geometric,
capybara,S1_C1,Is there a mistake? [11],checks over proof 1 step at a time,"reason definition, construction, all proof text",,right,geometric,
capybara,S1_C1,Which step is wrong? [12],,,,,,
capybara,S1_C1,Describe reasoning [13],,,,,,
capybara,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],need vertical angles to prove SAS,,,right,geometric,
capybara,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],thinks so because the picture of construction and vertical angles theorem look about the same,"construction, reason def (illustration), reason definition",,right,geometric,
capybara,S1_C2,Is there a mistake? [11],think it all makes sense,"all proof text, construction",,right,geometric,
capybara,S1_C2,Which step is wrong? [12],,,,,,
capybara,S1_C2,Describe reasoning [13],,,,,,
capybara,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],yes bc lines are perpendicular,"construction, all proof text",,right,geometric,
capybara,S1_C2,enough info...ASA at step 7? [4],all reqs for ASA met at that point,"construction, earlier proof steps (text)",,right,geometric,
capybara,S1_IN1,Is there a mistake? [11],recognized SAS was an odd choice and that DB=DB wasn't stated,,,right,geometric,
capybara,S1_IN1,Which step is wrong? [12],step 4 bc SAS,,,right,geometric,
capybara,S1_IN1,Describe reasoning [13],thought that SSA should be used,,,wrong,geometric,SSA not triangle congruence theorem
capybara,S1_IN1,conclude BA congruent to CB? [2],different # of ticks,"tick marks, construction",,right,"geometric, direct lookup",
capybara,S1_IN1, conclude <DBA congruent to <BCD? [3],angles not necessarily congruent,"tick marks, construction",,right,"geometric, direct lookup",
capybara,S1_IN2,Is there a mistake? [11],"confidently thought the proof was right, didn't check over the reasons used","statement text, construction",,wrong,geometric,
capybara,S1_IN2,Which step is wrong? [12],,,,,,
capybara,S1_IN2,Describe reasoning [13],,,,,,
capybara,S1_IN2,conclude KL congruent to KM? [2],"not the same segments, different # ticks","construction, tick marks",,right,"geometric, direct lookup",
capybara,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes because lines are congruent to themselves,"reason definition, earlier proof steps (text)",,right,geometric,
capybara,S1_IN3,Is there a mistake? [11],"thought quad == rectangle, didn't catch that right angles were not necessarily congruent","construction, tick marks, all proof text",,wrong,geometric,
capybara,S1_IN3,Which step is wrong? [12],,,,,,
capybara,S1_IN3,Describe reasoning [13],,,,,,
capybara,S1_IN3,conclude KN congruent to ML? [3],yes because construction/given says so,"tick marks, construction, given",,right,"geometric, direct lookup",
capybara,S2_C2,Is there a mistake? [11],proof matched expectations of how they would approach the proof themselves,,,right,geometric,
capybara,S2_C2,Which step is wrong? [12],,,,,,
capybara,S2_C2,Describe reasoning [13],,,,,,
capybara,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],need that AB=BC before using SAS,earlier proof steps (text),,right,geometric,
capybara,S2_C2,conclude <BAF congruent to <DCB? [2],they're different angles,"construction, tick marks",,right,"geometric, direct lookup",
capybara,S2_IN1,Is there a mistake? [11],didn't realize that step 8 didn't originate from triangles that were already demonstrated to be congruent,"construction, all proof text",,wrong,geometric,
capybara,S2_IN1,Which step is wrong? [12],,,,,,
capybara,S2_IN1,Describe reasoning [13],,,,,,
capybara,S2_IN1,conclude tLNU congruent to tUQL? [2],because ASA has already been used there's beforehand there's enough information,"earlier proof steps (text), construction",,wrong,geometric,confused about which triangles had been proven congruent by ASA
capybara,S2_IN2,Is there a mistake? [11],"thought <Y=<X instead of <Y=<W would be the normal thing to do. without tick marks thought that the visual squareness of the construction meant that an exception could be made. ""don't like it, but I don't see why it would be wrong""","construction, all proof text",,wrong,geometric,was mislead by the visual appearance of the construction (everything looks congruent)
capybara,S2_IN2,Which step is wrong? [12],,,,,,
capybara,S2_IN2,Describe reasoning [13],,,,,,
capybara,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],thinks it would still work knowing just the midpoints,"earlier proof steps (text), construction",,wrong,geometric,
capybara,S2_IN2,conclude <MYZ congruent to <MWX? [2],because the proof says so,statement text,,wrong,"geometric, direct lookup",
hippo,S1_C1,Is there a mistake? [11],everything checked out after redrawing all the steps on scratch paper,"construction, all proof text, tick marks, redraw",,right,geometric,
hippo,S1_C1,Which step is wrong? [12],,,,,,
hippo,S1_C1,Describe reasoning [13],,,,,,
hippo,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],need vertical angles for SAS,earlier proof steps (text),,right,geometric,
hippo,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],lines are intersecting so there's enough info,earlier proof steps (text),,right,geometric,
hippo,S1_C2,Is there a mistake? [11],"thought that the naming of angles in step 3 were incorrect, didn't read past step 3","statement text, construction",,wrong,geometric,thinks that naming of congruent angles should match their corresponding points
hippo,S1_C2,Which step is wrong? [12],step 3,statement text,,wrong,geometric,thinks that naming of congruent angles should match their corresponding points
hippo,S1_C2,Describe reasoning [13],"the order of points should perfectly match between the two angles, so <ABD=<CBD instead of <ABD=<DBC",statement text,,wrong,geometric,thinks that when 2 angles are named as congruent the ordering of points in their names must exactly match
hippo,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],yes bc lines are perpendicular,"earlier proof steps (text), construction",,right,geometric,
hippo,S1_C2,enough info...ASA at step 7? [4],yes bc reqs for ASA are met,"earlier proof steps (text), construction, tick marks",,right,geometric,
hippo,S1_IN1,Is there a mistake? [11],CPCTC is claiming the wrong angles are congruent after redrawing triangles,"construction, tick marks, all proof text, redraw",,wrong,geometric,convinced that SAS was correctly applied and then incorrectly visualized the triangles rotating and mixed up which parts of triangles were corresponding
hippo,S1_IN1,Which step is wrong? [12],step 5,"construction, all proof text",,wrong,geometric,
hippo,S1_IN1,Describe reasoning [13],doesn't think proof can be corrected,"all proof text, construction",,wrong,,incorrectly visualized the triangles rotating and mixed up which angles were corresponding
hippo,S1_IN1,conclude BA congruent to CB? [2],not same # ticks,"tick marks, construction",,right,"geometric, direct lookup",
hippo,S1_IN1, conclude <DBA congruent to <BCD? [3],not same # ticks,"tick marks, construction",,right,"geometric, direct lookup",
hippo,S1_IN2,Is there a mistake? [11],thought the issue was AAS should be SSS,"construction, all proof text",,wrong,geometric,used some information that wasn't in the proof (what visually appeared true) to justify using SSS
hippo,S1_IN2,Which step is wrong? [12],step 5,,,right,geometric,
hippo,S1_IN2,Describe reasoning [13],wants to use SSA to fix,"construction, all proof text",,wrong,geometric,
hippo,S1_IN2,conclude KL congruent to KM? [2],not enough proof,"tick marks, construction",,right,"geometric, direct lookup",
hippo,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],line can be reflexive with itself,earlier proof steps (text),,right,geometric,
hippo,S1_IN3,Is there a mistake? [11],visualized the construction mirroring over MK to check if congruent,"construction, all proof text, redraw",,wrong,geometric,assumed that things are congruent based on visual appearance in construction
hippo,S1_IN3,Which step is wrong? [12],,,,,,
hippo,S1_IN3,Describe reasoning [13],,,,,,
hippo,S1_IN3,conclude KN congruent to ML? [3],yes because it's given,"tick marks, given",,right,"geometric, direct lookup",
hippo,S2_C2,Is there a mistake? [11],"ABD not same as BCD, same as CBD",statement text,,wrong,geometric,initially looks at what visually appears to be true and if naming is inconsistent then it throws them off. after carefully explaining their reasoning they realized that the 2 triangles were actually the same.
hippo,S2_C2,Which step is wrong? [12],step 7,statement text,,wrong,geometric,thinks that naming of congruent triangles should match their corresponding points
hippo,S2_C2,Describe reasoning [13],change step 7 to ABD=CBD,statement text,,wrong,geometric,thinks that naming of congruent triangles should match their corresponding points
hippo,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],still need AB=BC,earlier proof steps (text),,right,geometric,
hippo,S2_C2,conclude <BAF congruent to <DCB? [2],"though visually they think it's true, the angles were not established to be congruent within the proof","construction, all proof text",,right,geometric,
hippo,S2_IN1,Is there a mistake? [11],checked over whole proof and thought that there was no issue,"all proof text, construction, redraw",,wrong,geometric,took step 8 at face value
hippo,S2_IN1,Which step is wrong? [12],,,,,,
hippo,S2_IN1,Describe reasoning [13],,,,,,
hippo,S2_IN1,conclude tLNU congruent to tUQL? [2],thought proof was right,"all proof text, construction",,wrong,geometric,"took step 8 at face value, thought proof was correct as result"
hippo,S2_IN2,Is there a mistake? [11],redrew the construction and didn't notice that the angles in step 7 are not necessarily equal,"all proof text, redraw",,wrong,geometric,incorrectly redrew and visualized the construction and took step 7 at face value
hippo,S2_IN2,Which step is wrong? [12],,,,,,
hippo,S2_IN2,Describe reasoning [13],,,,,,
hippo,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information established yet,earlier proof steps (text),,right,geometric,
hippo,S2_IN2,conclude <MYZ congruent to <MWX? [2],bc proof is correct and it is statement 7 in the proof,all proof text,,wrong,geometric,thinks proof is correct
eagle,S1_C1,Is there a mistake? [11],"everything check out, not 100% confident","construction, all proof text",,right,geometric,
eagle,S1_C1,Which step is wrong? [12],,,,,,
eagle,S1_C1,Describe reasoning [13],,,,,,
eagle,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thought that vertical angles had already been used,earlier proof steps (text),,wrong,geometric,assumed vertical angles had been established already
eagle,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],step 1 mentions intersection so there is enough info,"earlier proof steps (text), reason definition",,right,geometric,
eagle,S1_C2,Is there a mistake? [11],yes for unclear reasons,"construction, all proof text",,wrong,"geometric, guess",can't tell what the exact misconception is at this point
eagle,S1_C2,Which step is wrong? [12],"step 8 bc CPCTC talks about triangles while AD=DC is about segments, thinks there is mismatch between statement and the reason used","reason definition, construction, all proof text",,wrong,"geometric, guess",doesn't understand definition of CPCTC
eagle,S1_C2,Describe reasoning [13],ran out of time,,,,,
eagle,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],ran out of time,,,,,
eagle,S1_C2,enough info...ASA at step 7? [4],ran out of time,,,,,
eagle,S1_IN1,Is there a mistake? [11],"no, bc thinks all angles and sides match up so SAS and CPCTC are fine to use","tick marks, construction, all proof text, reason definition",,wrong,geometric,thought all angles and sides are congruent
eagle,S1_IN1,Which step is wrong? [12],,,,,,
eagle,S1_IN1,Describe reasoning [13],,,,,,
eagle,S1_IN1,conclude BA congruent to CB? [2],thinks that the segments could be congruent because of mirroring over the DB segment,"tick marks, construction",,wrong,"geometric, guess",thinks all angles and sides are congruent
eagle,S1_IN1, conclude <DBA congruent to <BCD? [3],yes bc thinks all lines and angles are equivalent,"tick marks, construction, all proof text",,wrong,geometric,thinks all angles and sides are congruent
eagle,S1_IN2,Is there a mistake? [11],"no, checked what AAS looked like but didn't realize that the proof hadn't established AAS","reason definition, reason def (illustration), construction, all proof text",,wrong,geometric,didn't keep track of whether AAS was the right reason to use
eagle,S1_IN2,Which step is wrong? [12],,,,,,
eagle,S1_IN2,Describe reasoning [13],,,,,,
eagle,S1_IN2,conclude KL congruent to KM? [2],"knows they are different lines, wasn't sure of answer","construction, tick marks",,right,"geometric, guess",
eagle,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, any fig congruent with itself","reason definition, construction",,right,geometric,
eagle,S1_IN3,Is there a mistake? [11],"no, didn't catch any issues, thought def. quad was fine","reason definition, all proof text, construction",,wrong,geometric,thought quad == rectangle
eagle,S1_IN3,Which step is wrong? [12],,,,,,
eagle,S1_IN3,Describe reasoning [13],,,,,,
eagle,S1_IN3,conclude KN congruent to ML? [3],thinks so,"tick marks, construction",,right,"geometric, direct lookup",
eagle,S2_C2,Is there a mistake? [11],"no, nothing caught their attention","construction, tick marks, all proof text, reason definition",,right,geometric,
eagle,S2_C2,Which step is wrong? [12],,,,,,
eagle,S2_C2,Describe reasoning [13],,,,,,
eagle,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],got tripped up on whether AB=BC was correct or if it needed to be named AB=CB to match the orientation of points. ,,,wrong,"geometric, guess",
eagle,S2_C2,conclude <BAF congruent to <DCB? [2],traced out <BCG instead of <DCB,"tick marks, construction",,wrong,"geometric, direct lookup",
eagle,S2_IN1,Is there a mistake? [11],"didn't catch mistake during read-through, losing track of their place while reading the proof","reason definition, construction, all proof text",,wrong,geometric,didn't catch the mistake
eagle,S2_IN1,Which step is wrong? [12],,,,,,
eagle,S2_IN1,Describe reasoning [13],,,,,,
eagle,S2_IN1,conclude tLNU congruent to tUQL? [2],based answer on read-through,construction,,wrong,geometric,
eagle,S2_IN2,Is there a mistake? [11],"misread <MYZ=<MWX as <MZY=<MWX, so missed the mistake, otherwise followed the proof","tick marks, construction, reason definition, all proof text",,wrong,geometric,traced the wrong angles which influenced their reasoning
eagle,S2_IN2,Which step is wrong? [12],,,,,,
eagle,S2_IN2,Describe reasoning [13],,,,,,
eagle,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],thinks that there is enough information based on only the setup (i.e. it looks like there are 2 parallel lines with a transversal so it must be possible to move the step),construction,,wrong,geometric,thinks that having a visually correct setup is enough to prove that the lines are parallel
eagle,S2_IN2,conclude <MYZ congruent to <MWX? [2],traced correct angles but still thought that they were congruent,construction,,wrong,geometric,traced the correct angles but believed that they visually looked correct
penguin,S1_C1,Is there a mistake? [11],"yes, accidentally picked answer?","construction, all proof text",,wrong,"geometric, guess",
penguin,S1_C1,Which step is wrong? [12],"picked step 5, thinks SAS is wrong reason","construction, all proof text",,wrong,geometric,
penguin,S1_C1,Describe reasoning [13],"pretty confused here, not sure what SAS is, thinks vertical angles was not established","construction, all proof text",,wrong,"geometric, guess",
penguin,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"read def and is not confused anymore, thinks vert angles needed for SAS","reason definition, earlier proof steps (text), construction",,right,geometric,
penguin,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],thinks there's enough info,"reason definition, construction, earlier proof steps (text)",,right,geometric,
penguin,S1_C2,Is there a mistake? [11],"thinks proof is inefficient, there's too much unnecessary stuff",,,wrong,geometric,"doesn't realize that the reason why proof is ""too many steps"" is because everything is needed to derive the property of angle bisector within a triangle"
penguin,S1_C2,Which step is wrong? [12],starting from step 3 it becomes redundant,,,wrong,geometric,
penguin,S1_C2,Describe reasoning [13],thinks 3-8 is useless,,,wrong,geometric,
penguin,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],there's too much info,,,right,geometric,
penguin,S1_C2,enough info...ASA at step 7? [4],yes conditions for ASA are met,,,right,geometric,
penguin,S1_IN1,Is there a mistake? [11],"missed mistake, glossing over SAS","construction, all proof text",,wrong,geometric,thinks having 2 sides and angle is enough for SAS
penguin,S1_IN1,Which step is wrong? [12],,,,,,
penguin,S1_IN1,Describe reasoning [13],,,,,,
