participant,proof,question,reasoning,visual queues used,steps viewed?,reasoning,type of understanding,misconception
penguin,S1_IN1,conclude BA congruent to CB? [2],different # of ticks,"construction, tick marks",,right,"geometric, direct lookup",
penguin,S1_IN1, conclude <DBA congruent to <BCD? [3],different # of ticks,"construction, tick marks",,right,"geometric, direct lookup",
penguin,S1_IN2,Is there a mistake? [11],"missed mistake, glossing over AAS","construction, all proof text",,wrong,geometric,
penguin,S1_IN2,Which step is wrong? [12],,,,,,
penguin,S1_IN2,Describe reasoning [13],,,,,,
penguin,S1_IN2,conclude KL congruent to KM? [2],not the same line,"construction, tick marks",,right,"geometric, direct lookup",
penguin,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],need that JK and LK are congruent to use reflexive prop,all proof text,,wrong,geometric,"misunderstanding about what reflexive prop is, thinks it's reflective prop (everything gets mirrored over the reflective axis)"
penguin,S1_IN3,Is there a mistake? [11],"missed mistake, and thought step 4 was extra","tick marks, construction, all proof text",,wrong,geometric,visually assumed that the quad was a rectangle
penguin,S1_IN3,Which step is wrong? [12],,,,,,
penguin,S1_IN3,Describe reasoning [13],,,,,,
penguin,S1_IN3,conclude KN congruent to ML? [3],it's given,given,,right,geometric,
penguin,S2_C2,Is there a mistake? [11],no because everything made sense even with extra steps,"construction, all proof text, tick marks",,right,geometric,
penguin,S2_C2,Which step is wrong? [12],,,,,,
penguin,S2_C2,Describe reasoning [13],,,,,,
penguin,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],yes bc thinks that any CPCTC step is useless,earlier proof steps (text),,wrong,geometric,believes that CPCTC never needs to be used
penguin,S2_C2,conclude <BAF congruent to <DCB? [2],completely different angles,construction,,right,geometric,
penguin,S2_IN1,Is there a mistake? [11],"yes, forgot what the proof is proving and misread some rows","construction, all proof text",,wrong,geometric,did not correctly keep track of the state of the proof
penguin,S2_IN1,Which step is wrong? [12],"step 6, thinks ASA should be AAS","construction, all proof text",,wrong,geometric,
penguin,S2_IN1,Describe reasoning [13],proposes changing step 6 ASA to AAS and moving step 6 right after the givens,,,wrong,geometric,
penguin,S2_IN1,conclude tLNU congruent to tUQL? [2],yes with a lot of extra information,earlier proof steps (text),,wrong,geometric,based on incorrect assumptions about state of the proof
penguin,S2_IN2,Is there a mistake? [11],"thinks step 6 and 7 are useless and don't add any information, thinks CPCTC is useless, but didn't read the proof carefully","reason definition, construction, all proof text",,wrong,geometric,
penguin,S2_IN2,Which step is wrong? [12],,,,,,
penguin,S2_IN2,Describe reasoning [13],,,,,,
penguin,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"""picture gives so much more information than the proof"", but still understands that some steps must be necessary before using alt-int angles","construction, earlier proof steps (text)",,right,geometric,
penguin,S2_IN2,conclude <MYZ congruent to <MWX? [2],correctly identified what the appropriate angles would be,construction,,right,geometric,
hedgehog,S1_C1,Is there a mistake? [11],no issues,,,,,
hedgehog,S1_C1,Which step is wrong? [12],,,,,,
hedgehog,S1_C1,Describe reasoning [13],,,,,,
hedgehog,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],needs vertical angles to apply SAS,"earlier proof steps (text), relies on",step 5,right,"geometric, direct lookup",
hedgehog,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],vertical angles can be applied after intersecting lines,earlier proof steps (text),step 1,right,geometric,
hedgehog,S1_C2,Is there a mistake? [11],no issues,"construction, all proof text",,right,geometric,
hedgehog,S1_C2,Which step is wrong? [12],,,,,,
hedgehog,S1_C2,Describe reasoning [13],,,,,,
hedgehog,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],yes bc relies on parallel lines,"relies on, earlier proof steps (text)",step 5,right,"geometric, direct lookup",
hedgehog,S1_C2,enough info...ASA at step 7? [4],yes bc reqs for ASA are met,"relies on, earlier proof steps (text)",step 7,right,"geometric, direct lookup",
hedgehog,S1_IN1,Is there a mistake? [11],"yes, SAS is wrong","construction, all proof text, inconsistency",step 4,right,"geometric, direct lookup",
hedgehog,S1_IN1,Which step is wrong? [12],step 4 bc SAS is wrong,"inconsistency, relies on, construction",step 4,,,
hedgehog,S1_IN1,Describe reasoning [13],thinks rows 4 and 5 should be switched,"tick marks, construction","step 4, step 5",wrong,geometric,sees that the angles they wanted to use for SAS are established in step 5 w/o noticing dependency on step 4
hedgehog,S1_IN1,conclude BA congruent to CB? [2],different ticks,"tick marks, construction",step 5,right,"geometric, direct lookup",
hedgehog,S1_IN1, conclude <DBA congruent to <BCD? [3],"yes, misread the angles","tick marks, construction",step 5,wrong,"geometric, direct lookup",
hedgehog,S1_IN2,Is there a mistake? [11],"yes, step 5 is wrong","inconsistency, construction, all proof text","step 4, step 5",right,"geometric, direct lookup",
hedgehog,S1_IN2,Which step is wrong? [12],step 5 bc not enough information for AAS,"inconsistency, construction, tick marks",step 5,right,"geometric, direct lookup",
hedgehog,S1_IN2,Describe reasoning [13],thinks SSA would be the right fix,"construction, tick marks",step 5,wrong,geometric,SSA not a valid triangle congruence theorem
hedgehog,S1_IN2,conclude KL congruent to KM? [2],different ticks,"construction, tick marks",step 5,right,"geometric, direct lookup",
hedgehog,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],reflexive can go anywhere,earlier proof steps (text),step 5,right,geometric,
hedgehog,S1_IN3,Is there a mistake? [11],yes bc quad != rect,"inconsistency, tick marks, construction","step 6, step 4",right,"geometric, direct lookup",
hedgehog,S1_IN3,Which step is wrong? [12],step 4 bc quadrilateral is 4 sides and 2 angles might not necessarily be equal,inconsistency,step 4,,,
hedgehog,S1_IN3,Describe reasoning [13],cannot be fixed,,"step 6, step 4",right,geometric,
hedgehog,S1_IN3,conclude KN congruent to ML? [3],yes bc given,tick marks,step 4,right,"geometric, direct lookup",
hedgehog,S2_C2,Is there a mistake? [11],no issues,"construction, all proof text, relies on",,right,geometric,
hedgehog,S2_C2,Which step is wrong? [12],,,,,,
hedgehog,S2_C2,Describe reasoning [13],,,,,,
hedgehog,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],no bc information is not yet established,"relies on, earlier proof steps (text), tick marks, construction","step 9, step 7, step 8",right,"geometric, direct lookup",
hedgehog,S2_C2,conclude <BAF congruent to <DCB? [2],no bc different angles,"construction, tick marks",step 10,right,"geometric, direct lookup",
hedgehog,S2_IN1,Is there a mistake? [11],"yes, bc missing requirement for triangle congruence","construction, tick marks, all proof text",step 7,wrong,geometric,
hedgehog,S2_IN1,Which step is wrong? [12],"step 7, doesn't think SLP=SUP could be established without more information","construction, tick marks",step 7,wrong,geometric,
hedgehog,S2_IN1,Describe reasoning [13],missing a side NP=QP to make ASA work,"construction, tick marks",step 7,wrong,geometric,lost track of what was being used to prove ASA
hedgehog,S2_IN1,conclude tLNU congruent to tUQL? [2],misread LNU and UQL as NLU and QUL and thought they were angles instead of triangles,"construction, tick marks",step 7,wrong,"geometric, direct lookup",located the wrong objects on construction
hedgehog,S2_IN2,Is there a mistake? [11],"yes, bc missing requirement for step 8","reason definition, inconsistency, construction, relies on","step 7, step 8",wrong,"geometric, direct lookup",
hedgehog,S2_IN2,Which step is wrong? [12],step 8 bc not enough information for alt-int angles,"inconsistency, construction, relies on",step 8,wrong,"geometric, direct lookup",
hedgehog,S2_IN2,Describe reasoning [13],doesn't understand why the angles are being defined with CPCTC so not really sure where the mistake is,"relies on, inconsistency, construction",step 8,wrong,geometric,
hedgehog,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],didn't vocalize reasoning,construction,"step 1, step 2",unknown,unknown,
hedgehog,S2_IN2,conclude <MYZ congruent to <MWX? [2],not the same angles,"tick marks, construction",step 8,right,"geometric, direct lookup",
rhino,S1_C1,Is there a mistake? [11],no reasoning,,step 7,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S1_C1,Which step is wrong? [12],,,,,,
rhino,S1_C1,Describe reasoning [13],,,,,,
rhino,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],yes bc you can see enough tick marks on the diagram,"tick marks, construction",step 5,wrong,"geometric, direct lookup","visually determining if lines and angles are the same length, mislead bc there were enough tick marks at step 5 but there wouldn't have been after step 3"
rhino,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],yes bc reflexive is always true,,step 4,right,"geometric, direct lookup",
rhino,S1_C2,Is there a mistake? [11],"no, no reasoning",,step 9,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S1_C2,Which step is wrong? [12],,,,,,
rhino,S1_C2,Describe reasoning [13],,,,,,
rhino,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],"yes, thinks that congruent adjacent angles needs to know AD and DC are the same length",,step 5,wrong,geometric,thinks that adj-angles needs to be based on congruent segments
rhino,S1_C2,enough info...ASA at step 7? [4],"yes, no reason expressed",,step 7,unknown,,
rhino,S1_IN1,Is there a mistake? [11],no reasoning,,step 5,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S1_IN1,Which step is wrong? [12],,,,,,
rhino,S1_IN1,Describe reasoning [13],,,,,,
rhino,S1_IN1,conclude BA congruent to CB? [2],same # ticks,,step 5,unknown,unknown,
rhino,S1_IN1, conclude <DBA congruent to <BCD? [3],no reasoning,,step 5,unknown,unknown,
rhino,S1_IN2,Is there a mistake? [11],"saw red inconsistency at step 5, still isn't sure why proof is wrong","inconsistency, relies on","step 5, step 3, step 4",wrong,direct lookup,assumed that the problem was with reflexive property because of the red inconsistency
rhino,S1_IN2,Which step is wrong? [12],picked step 4 because of the question and also thinks there's a missing step,"relies on, inconsistency",step 5,wrong,direct lookup,assumed that the problem was with reflexive property because of the red inconsistency
rhino,S1_IN2,Describe reasoning [13],need JM and ML to be congruent,"construction, tick marks",step 5,wrong,geometric,doesn't recognize RHL or the fact that AAS was the wrong reason to use in the first place
rhino,S1_IN2,conclude KL congruent to KM? [2],no bc different lines,"construction, tick marks",step 5,right,"geometric, direct lookup",
rhino,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes bc enough info for reflexive,earlier proof steps (text),step 5,right,geometric,
rhino,S1_IN3,Is there a mistake? [11],"no idea, didn't notice the inconsistency after viewing step 3. jumped straight to step 5 initially","reason definition, construction, tick marks, all proof text","step 5, step 3",wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S1_IN3,Which step is wrong? [12],,,,,,
rhino,S1_IN3,Describe reasoning [13],,,,,,
rhino,S1_IN3,conclude KN congruent to ML? [3],yes bc they're the same line,"construction, tick marks",step 5,right,"geometric, direct lookup",
rhino,S2_C2,Is there a mistake? [11],no reasoning,,step 10,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S2_C2,Which step is wrong? [12],,,,,,
rhino,S2_C2,Describe reasoning [13],,,,,,
rhino,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],no bc need to know AB and BC are congruent before you can use SAS,"construction, relies on, earlier proof steps (text)",step 9,right,"geometric, direct lookup",
rhino,S2_C2,conclude <BAF congruent to <DCB? [2],no bc tick marks are different and FB doesn't equal DC,"construction, tick marks",step 10,right,"geometric, direct lookup",
rhino,S2_IN1,Is there a mistake? [11],"no reasoning ""i can never tell if there's a mistake, it's hard to go through and see how to get to it""",,step 9,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S2_IN1,Which step is wrong? [12],,,,,,
rhino,S2_IN1,Describe reasoning [13],,,,,,
rhino,S2_IN1,conclude tLNU congruent to tUQL? [2],yes bc you have congruent sides and 1 angle which is enough to prove,"construction, tick marks",step 9,wrong,"geometric, direct lookup",visually determining if lines and angles are the same length
rhino,S2_IN2,Is there a mistake? [11],no reasoning,,step 8,wrong,guess,post-hoc said they didn't know how to find a mistake so they said no for every proof
rhino,S2_IN2,Which step is wrong? [12],,,,,,
rhino,S2_IN2,Describe reasoning [13],,,,,,
rhino,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],YX WZ are the same length and is the same and WX and YZ have to be the same length,"construction, tick marks",step 8,wrong,geometric,visually determining if lines and angles are the same length
rhino,S2_IN2,conclude <MYZ congruent to <MWX? [2],yes because all the angles are the same,"construction, tick marks",step 8,wrong,geometric,visually determining if lines and angles are the same length
giraffe,S1_C1,Is there a mistake? [11],"no mistake, no issues","construction, all proof text, relies on",step 7,right,geometric,
giraffe,S1_C1,Which step is wrong? [12],,,,,,
giraffe,S1_C1,Describe reasoning [13],,,,,,
giraffe,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"no reasoning, speeding",,step 5,wrong,unknown,
giraffe,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],thought congruence was needed for vertical angles,,step 4,wrong,geometric,
giraffe,S1_C2,Is there a mistake? [11],no mistake,"construction, all proof text, relies on",,right,geometric,
giraffe,S1_C2,Which step is wrong? [12],,,,,,
giraffe,S1_C2,Describe reasoning [13],,,,,,
giraffe,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],yes bc lines are perp,"construction, relies on, tick marks, all proof text",step 5,right,"geometric, direct lookup",
giraffe,S1_C2,enough info...ASA at step 7? [4],yes bc ASA conditions are met,"construction, relies on, all proof text, tick marks",step 7,right,"geometric, direct lookup",
giraffe,S1_IN1,Is there a mistake? [11],yes there's a problem with using SAS,"construction, tick marks, reason definition, all proof text, relies on, inconsistency",step 5,right,"geometric, direct lookup",
giraffe,S1_IN1,Which step is wrong? [12],step 4 bc SAS is the wrong reason,"construction, inconsistency, tick marks",step 5,right,"geometric, direct lookup",
giraffe,S1_IN1,Describe reasoning [13],use SSA as a fix because the angle is wrong,,,wrong,geometric,SSA not triangle congruence theorem
giraffe,S1_IN1,conclude BA congruent to CB? [2],"no reasoning, looked at construction, maybe misreading",construction,step 5,wrong,unknown,
giraffe,S1_IN1, conclude <DBA congruent to <BCD? [3],"no reasoning, looked at construction, maybe misreading",construction,step 5,wrong,unknown,
giraffe,S1_IN2,Is there a mistake? [11],AAS is the wrong theorem to use,"inconsistency, relies on, construction, all proof text",step 5,right,"geometric, direct lookup",
giraffe,S1_IN2,Which step is wrong? [12],step 5 bc AAS is not correct triangle congruence theorem,"construction, tick marks",step 5,right,geometric,
giraffe,S1_IN2,Describe reasoning [13],"can't remember if SSA is valid theorem, if it was it could be used","construction, tick marks",step 5,wrong,geometric,SSA not triangle congruence theorem
giraffe,S1_IN2,conclude KL congruent to KM? [2],no bc different lines,"construction, tick marks",step 4,right,"geometric, direct lookup",
giraffe,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],reflexive can be applied anywhere,,step 4,right,geometric,
giraffe,S1_IN3,Is there a mistake? [11],problem is that quad != rectangle,"inconsistency, construction, tick marks, all proof text",step 4,right,"geometric, direct lookup",
giraffe,S1_IN3,Which step is wrong? [12],step 4 bc quad != rect,"inconsistency, tick marks",step 4,right,"geometric, direct lookup",
giraffe,S1_IN3,Describe reasoning [13],can't be fixed without changing givens,"given, construction",step 4,right,geometric,
giraffe,S1_IN3,conclude KN congruent to ML? [3],yes bc same ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",
giraffe,S2_C2,Is there a mistake? [11],no issues,"construction, relies on, all proof text",,right,geometric,
giraffe,S2_C2,Which step is wrong? [12],,,,,,
giraffe,S2_C2,Describe reasoning [13],,,,,,
giraffe,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],"checked step 7 instead of step 9, speeding","construction, earlier proof steps (text)",step 7,wrong,geometric,checked SAS at step 7 instead of step 9
giraffe,S2_C2,conclude <BAF congruent to <DCB? [2],not the same angles,construction,,right,"geometric, direct lookup",
giraffe,S2_IN1,Is there a mistake? [11],"sees the inconsistency, took a while to understand what was wrong. but yes, bc the angles can't be established at step 8","tick marks, construction, inconsistency, all proof text",step 8,right,"geometric, direct lookup",
giraffe,S2_IN1,Which step is wrong? [12],step 8 bc the triangles are not congruent yet,"inconsistency, construction, tick marks",step 8,right,"geometric, direct lookup",
giraffe,S2_IN1,Describe reasoning [13],could use reflexive and SAS,"construction, tick marks",step 1,right,geometric,
giraffe,S2_IN1,conclude tLNU congruent to tUQL? [2],speeding and no reasoning,,step 1,wrong,unknown,
giraffe,S2_IN2,Is there a mistake? [11],can't see what the problem is even though they know there's an inconsistency,"construction, tick marks, inconsistency",,wrong,geometric,"thinks CPCTC is correctly applied, assuming that all the angles are congruent to each other"
giraffe,S2_IN2,Which step is wrong? [12],,,,,,
giraffe,S2_IN2,Describe reasoning [13],,,,,,
giraffe,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no reasoning, speeding",,step 2,wrong,unknown,
giraffe,S2_IN2,conclude <MYZ congruent to <MWX? [2],recognizes which angles should be the correct pair,"construction, tick marks",step 8,right,"geometric, direct lookup",
peacock,S1_C1,Is there a mistake? [11],proof looks right,,step 7,,,
peacock,S1_C1,Which step is wrong? [12],,,,,,
peacock,S1_C1,Describe reasoning [13],,,,,,
peacock,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],not enough information,"construction, earlier proof steps (text)",step 7,right,geometric,
peacock,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, bc just need intersecting lines","construction, earlier proof steps (text)",step 7,right,geometric,
peacock,S1_C2,Is there a mistake? [11],proof looks right,"construction, tick marks, all proof text",step 7,right,geometric,
peacock,S1_C2,Which step is wrong? [12],,,,,,
peacock,S1_C2,Describe reasoning [13],,,,,,
peacock,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],"would have that the lines are perp, so yes","relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",
peacock,S1_C2,enough info...ASA at step 7? [4],enough info for ASA,"relies on, earlier proof steps (text)",step 6,right,"geometric, direct lookup",
peacock,S1_IN1,Is there a mistake? [11],yes bc step 4 tries to use SAS,"construction, inconsistency, all proof text",step 4,right,geometric,
peacock,S1_IN1,Which step is wrong? [12],step 4 uses SAS,"construction, inconsistency, all proof text",step 4,right,geometric,
peacock,S1_IN1,Describe reasoning [13],reflexive BD and use SAS,"construction, tick marks",step 4,right,geometric,
peacock,S1_IN1,conclude BA congruent to CB? [2],not enough to prove equilateral triangles,"construction, tick marks",step 4,right,"geometric, direct lookup",
peacock,S1_IN1, conclude <DBA congruent to <BCD? [3],not enough info,"construction, tick marks",step 4,right,"geometric, direct lookup",
peacock,S1_IN2,Is there a mistake? [11],"using AAS is wrong, didn't match up with what they were keeping track of while reading the proof","construction, tick marks, inconsistency, all proof text",step 5,right,geometric,
peacock,S1_IN2,Which step is wrong? [12],step 5 bc AAS is wrong,all proof text,step 5,right,geometric,
peacock,S1_IN2,Describe reasoning [13],"know angle K is bisected by MK, delete reflexive step, then you can use AAS ","construction, all proof text",step 5,right,geometric,
peacock,S1_IN2,conclude KL congruent to KM? [2],different lines,construction,step 1,right,"geometric, direct lookup",
peacock,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],yes bc reflexive can go anywhere,,step 1,right,geometric,
peacock,S1_IN3,Is there a mistake? [11],needs some steps to get there because def quad is not right reason,"construction, inconsistency, all proof text",step 4,right,geometric,
peacock,S1_IN3,Which step is wrong? [12],step 4 bc def quad is not right reason,"construction, inconsistency",step 4,right,geometric,
peacock,S1_IN3,Describe reasoning [13],doesn't think they can correct the proof but they're not sure if it can be corrected,construction,step 4,right,"geometric, guess",
peacock,S1_IN3,conclude KN congruent to ML? [3],"said no, rushed",,,wrong,unknown,
peacock,S2_C2,Is there a mistake? [11],everything checked out,"construction, all proof text",step 10,right,geometric,
peacock,S2_C2,Which step is wrong? [12],,,,,,
peacock,S2_C2,Describe reasoning [13],,,,,,
peacock,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],"angle and a side, but missing a side, so no","construction, tick marks, earlier proof steps (text)",step 7,right,geometric,
peacock,S2_C2,conclude <BAF congruent to <DCB? [2],"doesn't think so, not sure",construction,step 7,right,"geometric, guess",
peacock,S2_IN1,Is there a mistake? [11],haven't said that the triangles are congruent yet so there's a mistake,"construction, inconsistency, all proof text",step 8,right,"geometric, direct lookup",
peacock,S2_IN1,Which step is wrong? [12],step 8 had a weird angle,"construction, tick marks",step 7,right,"geometric, direct lookup",
peacock,S2_IN1,Describe reasoning [13],LU reflexive and use SAS,construction,step 7,right,geometric,
peacock,S2_IN1,conclude tLNU congruent to tUQL? [2],no because proof isn't correct,,step 7,right,geometric,
peacock,S2_IN2,Is there a mistake? [11],issue with step 7 because angles are incorrect,"inconsistency, relies on, construction, tick marks, all proof text","step 7, step 8",right,"geometric, direct lookup",
peacock,S2_IN2,Which step is wrong? [12],step 7 bc angles are not correct,"inconsistency, all proof text",step 7,right,"geometric, direct lookup",
peacock,S2_IN2,Describe reasoning [13],angle Y=X gives you opposite interior angles,construction,step 7,right,geometric,
peacock,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no, guess",,,wrong,guess,
peacock,S2_IN2,conclude <MYZ congruent to <MWX? [2],"no, because they're different angles","construction, tick marks",step 7,right,"geometric, direct lookup",
lion,S1_C1,Is there a mistake? [11],"no issues with the proof, triangles are mirror image of each other so the angles are the same","construction, all proof text, tick marks",step 7,right,geometric,
lion,S1_C1,Which step is wrong? [12],,,,,,
lion,S1_C1,Describe reasoning [13],,,,,,
lion,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],no bc didn't have vertical angles,"relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",
lion,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],yes bc had intersecting lines,"relies on, earlier proof steps (text)",step 1,right,"geometric, direct lookup",
lion,S1_C2,Is there a mistake? [11],no issues with the proof,"construction, all proof text, reason definition",step 9,right,geometric,
lion,S1_C2,Which step is wrong? [12],,,,,,
lion,S1_C2,Describe reasoning [13],,,,,,
lion,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],already said lines perp so yes,all proof text,step 9,right,geometric,
lion,S1_C2,enough info...ASA at step 7? [4],"yes, because that's what they did as well",earlier proof steps (text),step 5,right,geometric,
lion,S1_IN1,Is there a mistake? [11],"sees the inconsistency (red lost its meaning here), doesn't recognize that the angles are not established. solved the proof in their head and was convinced that there was enough information to apply SAS","construction, relies on, inconsistency, all proof text",step 5,wrong,geometric,missed that BD had not been established yet and jumped to conclude that SAS was correct reason
lion,S1_IN1,Which step is wrong? [12],,,,,,
lion,S1_IN1,Describe reasoning [13],,,,,,
lion,S1_IN1,conclude BA congruent to CB? [2],triangles are not established to be equilateral,"construction, all proof text",step 3,right,geometric,
lion,S1_IN1, conclude <DBA congruent to <BCD? [3],triangles are not established to be equilateral,"construction, all proof text",step 3,right,geometric,
lion,S1_IN2,Is there a mistake? [11],never established that corner angles are same,"inconsistency, all proof text, construction",step 5,right,"geometric, direct lookup",
lion,S1_IN2,Which step is wrong? [12],step 5 bc AAS is wrong,earlier proof steps (text),step 5,right,geometric,
lion,S1_IN2,Describe reasoning [13],add step for < bisector and use SAS to solve,"construction, tick marks","step 1, step 2",right,geometric,
lion,S1_IN2,conclude KL congruent to KM? [2],"no, bc hypotenuse is always going to be bigger",construction,step 1,right,geometric,
lion,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, line is always equal to itself",construction,step 2,right,geometric,
lion,S1_IN3,Is there a mistake? [11],thinks that quad == rectangle,"construction, tick marks, reason definition",step 4,wrong,geometric,quad != rectangle
lion,S1_IN3,Which step is wrong? [12],,,,,,
lion,S1_IN3,Describe reasoning [13],,,,,,
lion,S1_IN3,conclude KN congruent to ML? [3],"if quad, then there must be 2 pairs of equal sides","construction, reason definition",step 4,wrong,geometric,quad != rectangle
lion,S2_C2,Is there a mistake? [11],no issue with proof,"construction, all proof text, tick marks",step 10,,,
lion,S2_C2,Which step is wrong? [12],,,,,,
lion,S2_C2,Describe reasoning [13],,,,,,
lion,S2_C2,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],needs AB=BC to prove,"construction, tick marks",step 7,right,"geometric, direct lookup",
lion,S2_C2,conclude <BAF congruent to <DCB? [2],different angles,construction,step 7,right,geometric,
lion,S2_IN1,Is there a mistake? [11],"know that information is missing, thinks angle L and U are missing","inconsistency, construction, all proof text",step 8,wrong,geometric,trying to solve for the wrong triangles
lion,S2_IN1,Which step is wrong? [12],"step 7, confused about which triangles are being proven congruent","all proof text, construction",step 7,wrong,geometric,trying to solve for the wrong triangles
lion,S2_IN1,Describe reasoning [13],subtract angles from each other and use some intersecting lines to get more angles to prove that smaller triangles are congruent,construction,step 7,wrong,geometric,trying to solve for the wrong triangles
lion,S2_IN1,conclude tLNU congruent to tUQL? [2],no bc proof wasn't correct,,step 7,right,geometric,
lion,S2_IN2,Is there a mistake? [11],"ignored the red inconsistency, said ""there's definitely a mistake but i missed it""","reason definition, all proof text, inconsistency, construction",step 8,wrong,"geometric, guess",
lion,S2_IN2,Which step is wrong? [12],,,,,,
lion,S2_IN2,Describe reasoning [13],,,,,,
lion,S2_IN2,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],no bc there's not enough information,earlier proof steps (text),step 1,right,geometric,
lion,S2_IN2,conclude <MYZ congruent to <MWX? [2],yes bc of alternate interior angles,construction,step 2,wrong,geometric,thinks that both pairs of alt-int angles are congruent to each other